stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,8.99,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.96,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,2.85,0,0,0,0,0
 24-34,0,0,0,0,0.9,0,12.07,0,0,0,0,0
 36-46,0,0.62,0,0,0.67,0,14.33,0,0,1.44,0,0.75
 48-58,3.65,14.4,0,0,0.43,0,4.11,0.94,0,0,0,0
 60-70,0,0.79,0,0,0,0,3.18,0,0,1.78,0,0
 72-82,0,3.29,0,0.5,0,0,5,0,0,0.56,0,0
 84-94,0,0,0,0,0.69,0,9.43,0,0,0,0.62,0
 96-106,0,0,0.72,0,0,1.67,5.7,0,0,0,0,0
108-118,0,4.6,1.03,0,0,0,0,0,0.63,0,0,0
120,0,10.17,0,0,16.75,0,3.18,0,0,0,0,0
