stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,115.76,3268.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.85,0,0,0,0,0,0,0,0,0
  5-6,161.32,2363.57,0,0,0,0,0,0,0,0,0,0,54.1,0,0,0,0,0,0,0,0,0,0,0,127.14,17.75,0,0,30.77,0,42.75,0,0,0,0,0,0,0,0,0
  7-9,34.06,63.36,0,67.91,0,0,0,128.07,0,0,0,0,78.65,0,0,0,0,0,0,0,0,0,0,0,1661.2,14.94,0,0,525.09,0,0,10.88,0,0,0,0,0,0,0,0
 10-12,0,74.01,0,60.38,0,0,0,99.16,0,0,0,0,47.18,0,0,0,0,0,0,0,0,0,0,0,1283.38,76.6,0,0,340.7,0,14.29,5.62,13.41,71.51,0,5.3,4.47,0,0,0
 14-21,0.89,0,0,6.85,103.67,22.72,0,28.25,0,0,7.84,5.13,12.05,1.5,0,2.59,0,0,0,0,51.16,1.09,0,40.9,489.89,37.7,0.83,7.09,17.92,0,44.08,0,80.56,5.22,6.98,35.47,123.17,0,1.96,0
 24-34,0,0,0.96,1.93,15.47,0.94,0,129.53,0,0,11.26,0.63,0,0,2.52,0.81,2.91,0.78,1.88,0,77.03,0,0,27.11,890.57,1.68,1.76,3.41,0,0,42.81,0,0.95,1.08,0,7.5,170.49,0,7.88,0
 36-46,0,0,0,0,22.74,3.97,0,314.28,0,1.88,8.19,0,0,0,1.87,0,0,0,1.74,0,29.24,0,2.05,10.11,563.81,0.67,3.89,1.46,0,0,16.99,0,0,0,0,0,98.22,0,10.3,0
 48-58,0,0,0,0,17.02,5.38,0,307.04,0,0,23.98,0,0,0.44,0.45,0,7.6,0.77,0,0,51.74,0,5.48,3.52,303.98,4.84,5.17,3.57,0,0,4.19,0,0,0,0,0,40.88,0,0.43,1.92
 60-70,0,0,0,0,7.81,1.34,0,263.48,2.42,0.63,26,3.65,0,0.6,0,0,0,0,2.49,0,62.82,0,6.29,2.61,127.88,1.03,0,6.45,0,0,7.95,0,0,0,0,0,21.84,0,3.46,0
 72-82,0,0,0,0,0,3.12,0,69.4,0,3.28,14.67,0,0,0,0.72,0,2.49,0,0,0,22.02,0,3.77,1.85,100.53,0,0.79,1.07,0,0,1.1,0,0,0,0,0,4.09,0,2.35,0
 84-94,0,0,0,0,4.17,1.62,0,58.69,0,0.59,6.95,2.36,0,2.85,2.33,2.72,0,5.41,2.03,0.73,21.72,0,6.06,2.86,52.32,0.65,0.76,0,0,0,2.88,0,0,0,0,0,1.69,0,6.67,0
 96-106,0,0,1.36,0,2.4,7.16,0,24.6,0,0,13.05,1.9,0,0,0,1.73,0.95,0,0,0,8.48,4.41,0,1.73,56.41,0,0.81,0.64,0,0,8.33,0,0,0.67,0,0,4.86,1.25,0,0
108-118,0,0,0,0,1.26,3.18,0.5,44.46,0,0,8.07,0,0,0,4.16,0,0,0,0,0,20.31,0,0,1.04,72.35,0,0,0.91,0,2.11,2.15,0,0,0.48,0,0,1.21,0,0.65,0
120,0,0,0,0,6.21,1.41,0,96.72,0,0,12.24,1.32,0,0,3.88,0,0,0,1.5,0,14.94,0,0,7.87,100.53,1.1,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0
