stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,123.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.17,192.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.89,0,0,0,4.44,0,0,0,0,6.21,0,0,0,0,0,0,0,0,51.62,0,0,0,31.99,0,0,0,0,0,0,0,0,0
 10-12,0,5.5,0,0,0,0,0,24.12,0,0,0,0,3.97,0,0,0,0,0,0,0,0,144.46,0,0,0,12.27,0,0,4.64,0,0,0,0,0,0
 14-21,0,0,1.38,4.55,41.24,4.38,0,5.21,0,0,13.09,3.35,0,1.07,0,0,0,29.4,0,0,12.58,150.19,4.29,1.09,1.14,1.32,0,2.37,0,0.86,93,0,0,3.81,0
 24-34,0,0,0.75,2.72,10.62,0.69,0,13.98,0,0,26.87,0,0,3.12,0,5.04,0.67,46.33,0,0,18.86,463.05,11.42,0.96,1.07,0,0,6.13,0,0.65,238.08,0,0,15.8,0
 36-46,0,0,0,0,9.14,0,0,17.25,6.72,0,51.61,0,0,0,0,0.77,0,96.17,0,0,10.93,489.58,10.41,4.05,0,0,0,11.75,0,0,197.16,0,0,20.81,0
 48-58,0,0,0,0,7.44,0,0,11.53,0,10.01,49.5,0,0,0.9,0.58,0,0,140.89,0,0,11.65,223.33,8.61,0.37,0,0,0,4.79,1.25,0,85.13,0,0,11.36,0
 60-70,0,0,0,0,6.83,0,0,16.49,1.49,0,20.22,0,0,0.76,0,1.02,0,210.3,0,0,6.23,215.83,6.54,0,0.91,0,0,7.91,0,0,31.94,0,0,9.37,0
 72-82,0,0,0,0,6.49,0.61,0,12.56,0,3.96,24.42,2.83,0,0,0.94,0,0,275.09,0,0,11.99,219.48,3.78,0.63,0.5,0,0,6.01,0,0,17.4,0,4.79,9.54,0
 84-94,0,0,2.56,0,32.26,0,0,12.65,1.42,1.72,18.69,0.64,0,0,0,1.87,0,207.69,4.49,0,3.87,126.48,3.94,0,1.99,0,3.05,24.3,0,0,12.46,3.4,0,7.55,0
 96-106,0,0,1.14,0,6.31,4.91,0,0.59,0.57,0,10.21,2.95,0,0,0,1.93,0.7,150.47,1.9,0,3.05,118.38,12.23,0,1.27,0,4.23,32.29,0,0,5.24,0,4.06,1.06,2.14
108-118,0,0,0,0,12.43,7.12,4.71,14.92,0.76,2.1,20,1.98,0,0,1.53,3.01,0.43,220.1,0.42,1.04,8.2,114.96,4.89,0.61,0,0,4.36,15.07,0,0,9.91,0,2.26,6,1.09
120,0,0,0,0,5.99,12.71,0,19.37,0,0,33.04,0,0,0,0,0,0,298.08,10.27,0,8.14,196.2,1.25,2,0,0,0,30.31,0,0,15.15,0,0,0,0
