stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2.42,304.73,0,0,0,0,0,0,0,16.01,0,0,0,0,0,0,0,2.29,0,0,0,0,0,3.01,0,3.82,1.38,3.08,0,0,288.03,0,0
 24-34,0,1.05,7.77,62.64,0,1.83,0,0,0,0,0,53.34,1.73,1.27,5.94,0,3.62,0,0.7,67.9,0,0,1.98,0,4.1,0,2.28,0,1.4,3.94,0,0,1528.02,0,0
 36-46,0,0,6.39,2.61,0,1.95,0,0,0,1.09,0,32.25,0.87,0,0,0,5.83,0,0,32.85,1.4,0,0.62,0,0,0,0,0,0,2.37,0,0,946.48,0,0
 48-58,0,0,1.9,1.17,0,11.98,0,0.37,0,0,0,80.36,4.19,6.13,0,0.57,11.69,0,0,65.05,1.33,0,4.07,0,0,0,0,0,0,1.28,0,0,830.73,0,0
 60-70,0,0,0,1.4,0,22.14,0,0,0,5.92,0,98.25,9.4,0,0,0,9.55,0,1.53,35.3,0,0,0.83,0,0,0,5.87,0,0,4.16,0,0,686.09,0,0
 72-82,0,0,0,0.9,0,23.24,0,2.76,2.85,0,1.1,115.04,6.51,0.57,0,0,24.18,6.42,0,38,0,1.59,0.65,0,0,0,0,0,0,1.71,0,4.7,1475.49,0.77,2.33
 84-94,0,0,0,13.14,0,15.51,0,0,0,3.62,0.56,97,18.16,1.52,0,0,41.73,0,0,13.68,0,2.46,1.76,0,0,0,0,0,0,0,0,0,1376.63,0,0
 96-106,0,0,5.78,34.29,0,6.07,1.64,0.67,0,3.12,2.52,133.64,7.42,0.92,5.84,0,34.77,4.14,2.39,36.25,0,2.49,1.54,0,0.8,0,2.91,0,0,0,0,1.87,1555.48,0.65,0
108-118,2.01,0,4.57,9.39,0.5,33,0,1.31,0,4.04,0,52.46,10.5,0,0.6,0,61.03,0,0.92,21.37,0,0.47,1.8,1.89,0.73,0,3.72,0,0,0.96,0,0.57,1353.01,1.05,0
120,0,0,0,1.79,0,7.55,0,0,0,7.02,0,57.63,25.95,0,2.58,0,51.68,0,0,49.07,0,1.62,0,0,0,0,0,0,0,0,2.39,3.74,1246.65,1.99,0
