stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.11,0,4.7,0,0,0,12.86,0,0,0,0,0.93,0,0,0,0,3.43,0,0,1.13,320.19,3.66,0,0,0,0,1.46,0,0,9.53,15.81,144.43,0,0,2.19,0,0
 24-34,0.88,0,4.43,0,12.93,0.75,1.56,0,36.89,0,0,0.68,0,2.83,0,0,0,0,11.48,0,0,18.42,1729.64,0,0,0,0,0,3.35,0,1.77,3.57,13.63,445.07,0,0,2.31,0,0
 36-46,0,0,2.69,0.76,24.44,14.03,0,0,36.77,0,0,0,0,7.64,0.57,0.74,0,6.95,27.72,0.79,0,6.75,2348.66,1.12,4.74,0,7.09,0,3.94,12.21,0,0,0,670.45,0,0,0,0,0
 48-58,0,0,4.06,2.49,69.76,6.84,6.07,0.43,71.64,1.96,0,1.84,0,6.82,0.45,0,4.18,1,37.5,1.32,0,8.6,1952.95,0,0,2.44,0,0,6.54,0,0,2.54,0,375.94,0,0,0,0,3.1
 60-70,0,0,4.35,0,108.23,7.06,0,0,70.43,0,5.24,0.76,3.99,12.8,0,1.73,0,11.35,70.4,0,0.81,17.81,2319.74,1,3.99,13.92,0,0,9.17,0,0,0,0,231.2,0,0.8,0.87,0,0
 72-82,0,0.64,4.29,0.65,184.67,8.26,0,0,68.26,1.65,0,0,1.88,14.25,0,2.84,0,1.08,54.2,0,1.77,9.68,2103.74,0,1.99,6.69,0,2.81,2.03,0,0,0,0,173.85,0.88,0,2.93,2.04,1.11
 84-94,0,0,8.17,9.78,190.54,3.35,1.03,0,51.5,1.34,0,0.7,0,17.88,0.67,0,0,6.23,55.78,0.76,2.41,3.17,1485.96,0,0.6,10.32,0,0,5.17,0,2.87,0,0,118.48,2.73,0.64,1.98,0.75,1.02
 96-106,0,0,4.27,5.1,147.07,2.28,0,0,69.94,3.67,0,0,0,23.57,0,9.15,0,4.46,54.89,0,1.37,3.08,1306.46,0.97,0,5.08,0,0,6.13,0,0,0.64,0,45.52,1.61,1.82,5.29,0.67,0
108-118,0,0,5.51,0.96,172.42,1.8,0.43,0,41.89,6.6,0,0,0,18.16,1.49,0,0,2.97,40.75,0,0,6.41,1504.83,0,2.79,11.15,0,0,10.17,0,0,0.47,0,29.69,0,2.54,1.07,1.03,0
120,0,0,28.74,2.02,164.35,4.28,0,19.12,103.81,0,0,0,6.04,27.03,0,4.16,0,3.12,51.51,0,0,10.36,2867.48,0,0,34.56,0,0,0,0,4.58,0,0,28.53,1.81,0,0,0,0
