stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,56.85,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0
  5-6,34.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0.84,0,0,0,0
 24-34,0,0,0,0,0,1.31,0,0,0,0,0,0,0,11.89,0,1.77,0,6.5,0,0,0
 36-46,0,0,0,0,0,9.02,0,1,0,0,0,0,0,16.33,1.71,1,0,3.79,0,0,0
 48-58,0,0,0,0,0,61.55,2.62,0,0,0,6.87,0,0,81.42,0,0,0,13.42,0,0,4.23
 60-70,0,0,0,0.9,3.58,119.14,0,0.92,0,0.83,0,0.96,0,89,3.55,0,0,10.66,0,0,6.84
 72-82,0,0,0,0.96,0,231.6,0,2.01,0,0.54,0,1.09,2.74,100.08,0,0,0,21.78,0,0.56,72.57
 84-94,0,1.46,0,0,0,156.4,0,3.34,2.7,0,0,11.72,0,101.66,0.56,0,0,15.02,0,0,11.2
 96-106,0,0,0,3.11,0,183.83,0,2.76,0,0.66,0,1.16,0,120.35,0,0.63,0,2.87,0,0,107.14
108-118,0,0,0.74,0.43,1.19,113.92,0,0.82,2.28,1.9,0,4.29,0,98.16,0,1.48,0,6.43,0,0,49.45
120,0,0,0,12.99,0,162.58,0,2.33,3.24,16.34,0,2.88,1.66,203.11,0,0,0,27.15,2.82,0,29.21
