stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,34.47,328.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0
  5-6,0,90.34,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0
  7-9,6.58,0,0,0,0,0,0,3.31,0,0,0,0,0,42.1,0,0,0,16.18,0,0,0,0,0,0,0
 10-12,0,3.84,5.76,0,0,0,0,0,0,0,0,0,0,89.52,0,0,0,4.79,0,0,0,0,0,0,0
 14-21,0,0,0,8.39,2.17,10.93,0,0,0.86,0,0,3.26,1.97,64.98,0,0,0,0,0,0,8.38,0,4.25,8.53,0
 24-34,0,0,0,0,0,3.37,2.19,0,0,0,0,4.38,2.24,98.03,0,2.59,0,0,0,1.06,0,0,0,25.11,0
 36-46,0,0,0,0,0,10.97,5.13,0,0,0,0,4.66,0.59,64.87,0,2.48,0,0,0,0,0,0,0,17.5,0
 48-58,0,0,0,0.48,0,32.75,4.67,0,0,0,0.44,4.37,0,64.7,0,0,0,0,0,0,0,0,0,13,0
 60-70,0,0,0,0,0,34.66,8.45,0,0,0,0,3.95,0,52.23,0,0,0.83,0,0,0,0,0,0,2.53,5.55
 72-82,0,0,0,0.9,3.82,29.64,3.28,0,0,0,0,2.76,0,44.03,0,0,0,0,0,0,0,0,0,5.5,0
 84-94,0,0,0,0,0.78,6.87,2.24,0,0,0,0,3.12,0,9.07,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,11.65,2.37,0,0,0,0.82,1.95,1.27,28.51,0,0,0,0,0,0,0,0.7,0,0,0
108-118,0,0,0,0,0,13.05,4.13,0,0,1.77,0,1.6,0,24.08,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,6.03,1.21,0,0,0,0,3.87,2,22.04,0,0,0,0,0,0,0,0,0,0,0
