stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.19,102.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.22,96.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.72,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,17.64,4.26,0,18.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,3.93,0,0,0,5.27,0,0,0,0,0,0,0
 14-21,0,0,0,1.23,8.23,0.99,0,2.17,0,0,0,0,0,0,1.26,0,1.47,0,0,0.82,27.41,0,0,0,0,0,0,14.82,0,213.42,0,0,0,0,0
 24-34,0,0,4.78,0,0,0,0,0.6,0,0,0,0.92,0,0,0,0,0,2.61,0,0,820.8,0,0,0,0,0,0,3.12,0,270.59,0,0,0,0,0
 36-46,0,0,0.69,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,155.21,0,0,0,0,0.99,0,2.09,0,206.7,0,0,1.95,0,0
 48-58,0,0,8.57,0,0,0,0,7.82,0,0,0,0.99,0,0.85,0,0,0,4,0,0,166.95,0,0.91,0,0,0,0,0,0,10.48,0,0,12.37,0,0
 60-70,0,0,48.31,0,0,0,0,2.47,0,0,0,1.97,20.05,2.21,0,0,0,1,0,0,96.86,0,0,0,0,1.23,0,2.27,0,35.6,0,0,0,0,0
 72-82,0,0,4243.63,0,0.49,0,0,13.09,0,0,0.56,4.35,12.83,0,0.58,3.11,1.08,15.43,0,0,158.66,0,0,0,0.77,0.63,0,0,0,6.27,0,0,0.5,0,3.1
 84-94,0,0,892.99,0,0,0,0.92,8.92,0,0,0,2.46,532.85,0,1.5,0,0,10.36,0,0,43.32,0,0,0,0,5.57,0,0.61,0,0.8,0,0,0,2.71,0
 96-106,0,0,6796.44,0,58.25,0,0,11.23,0,0,0,20.58,334.26,2.55,0,0,19.99,15.04,1.8,0.66,194.16,0,1.51,0,0,0,2.7,2.18,6.18,0,0,0.58,1.33,0.91,0
108-118,0,0,7525.76,0,0.88,0,1.2,28.9,0.52,0.71,4.33,2.82,447.08,0.95,0,0,0,22.32,0,3.09,175.28,0.72,0.96,0,0,4.49,0,1.97,0,0.46,0.77,0,0.5,0,4.69
120,0,0,12469.3,0,0,2.02,0,19.59,0,1.16,0,0,21.13,0,0,0,2559.24,18.23,0,1.49,285.27,0,3.73,0,0,1.5,0,0,0,0,0,0,0,0,0
