stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.72,190.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0
  5-6,35.75,187.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,3.6,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,134.85,0.94,3.7,0,1.89,0,0,0,0,0,0,0,0,2.33,0,7.04,1.47,0,0,78.9,0,14.36,6.62,0,0,0,0.88,0,0.88,3.09,2.98,0,0,0.86,0,0
 24-34,0,0,120.24,0,0.8,0,46.3,0,0,0,3.85,0,0,0,0.65,0,0,260.27,1.83,0,0.98,915.24,3.73,57.55,61.75,0,0,1.54,0,0,0.63,0,7.65,0,0,0.65,0,0
 36-46,0,0,21.48,0,4.34,0,21.09,0,4.72,0.72,0,0,0,0,0,0,0.61,326.66,0,0,1.4,1962.08,0,23.4,42.63,0,0,0,0,0,0,0,17.54,0,0,0,0,0
 48-58,0.77,0,17.37,1.56,52.34,0.67,29.42,0,9.6,0,0,0,1.54,0,0.94,0,0,444.63,0,1.39,0.98,2000.14,2.54,13.08,61.15,0,0,6.78,0,0,0,0,25.99,0,1.28,0.4,0,0
 60-70,0.81,0,9.42,1.86,38.04,0,26.1,0.63,3.03,0,0,0,0,0,0,0,0,549.75,0,0,0,1821.44,0,12.22,45.08,0,0,4.6,0,0,0,0,3.35,0,0,0,0,0
 72-82,0,0,7.14,0.51,69.63,0,14.43,0.79,42.47,0,0,1.55,0,7.32,0,2.33,0,728.36,0,7.46,2.65,1278.58,0,10.51,70.79,0,0,0,0,5.01,0,0,12.08,1.56,2.34,0,0,6.89
 84-94,0,0,27.79,0.82,82.64,0,24.6,0,30.89,0.66,0,0.82,0.68,0.74,0,0,0,684.83,0,3.04,0,911.33,0.99,22.84,94.43,0,0,4.72,0,0,0,0,4.83,0,0,3.82,2.23,4.41
 96-106,0,0,16.46,4,66.91,0.78,18.27,0,35.32,2.35,0,0.65,0,0.74,0,0,0,528.79,2.77,15.99,4.85,615.95,1.43,30.91,83.33,0,8.13,4.62,0,0,0,0,0,0.58,0,0,1.59,3.14
108-118,0,0,7.63,4.24,37.05,0,10.68,1.58,24.02,0.58,0,4.84,0,0.53,0,0.73,0,549.06,0,15.2,0,1181.84,0,31.88,94.74,0,0,2.38,0,0,0,0,0,0.55,0,0,0.72,5.35
120,0,0,44.04,12.71,60.86,0,46.96,0,46.46,1.42,0,0,1.45,0,0,16.51,0,393.85,0,0,0,2123.51,0,18.76,70.3,0,0,1.12,0,0,0,0,0,0,9.27,0,0,0
