stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.07,0,0,0,0,0,0
 24-34,0,2.22,0.64,0,0,0,0,0,0,0,0,0,0,1.98,0,122.95,0,0,0,0,1.95,0,0
 36-46,0,0.69,0,0,0,0,0,0,0,0,0.58,0,0,4.8,0,519.23,0,0,0,0,0,0,0
 48-58,0,0,0,0.78,0,0,0,0,0,0,1.22,0,0,18.66,0,389.98,0,0,3.44,0,3.57,0,0.52
 60-70,0,9.2,0,0,0,0,0,0,0,0,1.77,0,0,2.75,0,506.01,0,0,0,0,0,0,0
 72-82,0,11.48,0,1,0,0,0,1,0,0,10.47,0.75,0,22.29,0,1181.01,0,0,0,0,1.13,0,0
 84-94,0,3.1,0,1.06,0,1.52,0,0.67,0,0.58,1.81,0,0,5.7,0.89,932.1,1,0,2.54,0,0,0,0
 96-106,0.7,15.52,2.37,10.63,2.13,3.57,0,6.2,0,0,0,0,0,7.07,0,1360.88,0,0,2.48,0,0,2.16,3.32
108-118,0,0.97,0,1.88,0,0,0,1.41,0.51,0.54,12.7,0,1.7,19.12,0,1036.4,0,0,3.01,0,0,7.17,2.71
120,0,0,0,0,0,0,4.41,1.11,0,0,23.85,0,4.37,7.34,0,791.69,0,0,0,2.39,0,0,0
