stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.85,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.8,0.68,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,1.27,3.2,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.44,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,71.28,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.62,1.26,0,1110.04,18.58,0,1.55,0,11.42,1.47,0,2.17,2.02,0,0,12.67,0,12.39,0,0,0,79.06,0,0,1.07,0,0,5.25,0,0,3.3,1.71,0,0,1.55,0
 84-94,0,0,4.24,1.28,1783.09,40.51,0,0,0,9.54,0,0,0.6,1.07,0,0,2.68,4.83,14.34,0,0,0,58.31,0,0,0.59,0,0,11.14,0,0,14.77,0,1.38,0.57,0,0
 96-106,0,5.42,57.32,133.93,13089.14,379.73,5.64,5.6,8.03,105.95,21.86,3.49,16.85,4.1,1.36,10.19,95.73,8.6,234.93,2.79,9.87,21.32,987.24,1.43,17.36,10.01,0,5.72,123.92,0,0.6,21.19,6.62,9.76,50.44,13.26,34.26
108-118,0,8.06,65.48,81.11,33242.82,941.18,5.31,15.55,19.93,211.36,25.18,6.49,20.82,13.5,26.27,8.25,75.92,14.37,361.97,14.97,16.99,45.32,2024.38,7.16,3.72,20.51,0,26.96,225.19,1.69,0.96,31.21,2.15,7.9,55.55,10.43,82.78
120,0,13.04,48,47.35,15239.27,533.49,3.59,5.4,7.27,183.97,30.67,4.47,47.73,9.03,13.71,12.43,33.08,3.07,366.66,5.62,37.81,31.36,2012.05,5.78,37.78,5.78,0,19.8,86.68,12.14,0,45.17,0,0,42.39,0,22.72
