stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,3.9,0,0,0,0
 24-34,0,0,7.47,5.02,0,0,0,0,0,1.22,0,0,0,0,0,0,0.65,0,0,0.79,0,1.02,0,25.18,0,0,0,2.21
 36-46,0,0,7.63,0.66,2.03,5.6,0,0,0,1.45,0,0,8.57,0,0,3.67,3.76,0,0,0,0,0,0,34.8,0.78,0,0,0
 48-58,0,0,7.85,1.44,0.72,0.93,0,0.73,0,1.14,0,0,2.76,2.38,0,0.45,19.74,0,0,0,9.55,0,0,38.17,0,0,0.47,0
 60-70,0,0,8.87,3.43,0,0,0.78,0,0,0,1.42,0,3.09,0,0,14.51,2.47,0,2.04,0,0,0,0,16.26,0,0,0,0
 72-82,0,0,4.23,19.94,3.29,0,0,3.27,0,1.85,0,0,9.77,0,0,0,11.18,4.45,0.58,2.5,0,0,0,11.68,0.61,0,0.65,0
 84-94,0,0,13.78,16.03,18.3,0,0,0.84,0,0,0,0,15.05,0,3.27,0.74,12.79,0,0.61,7.42,0,4.2,0,32.77,0,0,0,0
 96-106,0,1.41,19.63,6.49,33.5,0,0,16.48,0.7,3.25,0,0.75,13.68,0.76,0,3.04,22.06,0.58,0,6.78,0,2.43,0.59,34.63,0,0,1.09,0
108-118,0,0,37.23,23.05,25.61,3.93,0,1.78,0,3.2,0,0,32.54,0,0,0.95,21.34,0,0.82,7.31,0,0,0,24.04,0,0.67,0.63,0
120,0,0,17.42,43.11,23.18,3.28,0,19.34,2.8,0,0,0,19.96,0,0,1.82,14.54,0,12.72,0,0,20.03,0,10,0,0,0,0
