stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0
 14-21,4.61,7.25,1.19,0,0,0,0,0,0,14.24,0,2.51,3.96,5.28,0,0,0.84,0,0,0,0,13.96,0
 24-34,3.32,6.03,0,0,0,10.33,0.66,0,0,9.66,0,0,16.47,0,0,0,0,0,0,0,0,155.37,0
 36-46,0,1.36,3.66,0,0,1.33,0,0,0,2.58,0,0,18.1,0,0,0,0,0,0,0,0,123.81,0
 48-58,6.96,0,0,0,0.8,18.42,0,0,0,12.27,0,0,9.78,0,1.19,0,0,0,2.58,0,0.37,178.13,0
 60-70,0,0,11.39,0,0,4.41,0,0,0,10.97,7,0,2.3,0,0,0,0,0,2.46,0,0,111.84,0
 72-82,0,0,0,0,1.93,1.07,0,0,1.65,10.85,0,0,11.79,0,0,0,0,0,0,0,1.34,222.45,1.85
 84-94,0,0,1.1,0,0.61,2.88,0,0,0,6.31,0,0,57.06,0,0,0,0,0,0,2.5,0,310.42,0
 96-106,0,0,6.52,5.83,0,2.44,0,0,0,3.47,0,0,0,0,0,1.53,0,0,0,0,0,325.24,0.82
108-118,0.79,1.51,8.08,0,3.59,0,0.47,2.41,1.21,6.13,0,0,2.91,0,0,0,0,1.17,0,0,0,315.43,0
120,0,0,0,0,3.25,0,0,0,0,48.24,0,0,10.14,0,0,0,0,0,0,0,0,430.35,0
