stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.12,2213.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.35,0,0,0,0,0,0,0,0,0
  5-6,65.49,574.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,0,0,0,0,35.16,0,0,0,0,0,0,0,0,0
  7-9,9.46,0,0,9.78,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,30.3,4.26,0,0,14.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.61,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.4,0,0,0,27.17,0,4.8,0,13.25,0,0,0,0,0,0
 14-21,0,0,0,2.83,8.75,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,5.06,0,0,1.11,47.04,0,0,94.73,0.92,0,0,2.78,0,6.97,20.03,0,0,0,0
 24-34,0,0,0,0.59,1.62,0,0,1.5,0,0,0,0,0,0,0,0,0.74,0,0,1.3,0,13.94,0,0,0,169.28,0,0,115.29,0,0,0,0,0,0,11.47,0,0.96,0,0
 36-46,0,0,0,0,0,0,0,4.67,0,0,0.62,1.67,0,0,0,0,0,0,0,1,0,9.81,0,0,0,206.92,0,0,27.65,0,0,0,0,0,0,15.06,0,1.45,0,0
 48-58,0,0,0,0,5.63,1.85,0,45.24,0,7.59,0.42,6.45,0,0,0.69,0,0,4.83,0,1.66,0,22.57,0,0,5.39,208.25,0,0,47.39,0,0,0,0,0,0,8.91,0,1.25,0,4.58
 60-70,0,0,0,0,10.23,1.51,0,87.75,0,10.7,0,34.05,0.57,0,0,0,0,0,0,0,0,37.65,0,0,0,166.11,0,0,14.73,0,1.33,0,0,0,0,0,0,0.93,0,5.13
 72-82,0,0,0,0,25.51,15.72,0,53.25,0,0,0.51,51.09,0,0,0.86,0,0,0,0,0,0,25.82,0.55,0.55,0.51,91.73,0,1.34,17.06,0,2.86,3.31,0,0,0,5.79,8.04,1.53,0,0
 84-94,0,0,6.72,0,49.19,20.92,0,64.74,0,0.82,0.65,31.49,2.14,0,0,0,0,0,0.96,5.05,0,15.1,0,0,0,46.41,0,0,89.3,0,0,0,0,0,0,2.36,4.05,0,0,0
 96-106,0,0,0.88,0,26.32,13.2,0,103.33,0.57,0.61,0.76,81.96,0.62,0,0,0.87,0.58,0,9.57,0.6,0,6.73,0,0,1.04,60.04,0,0.7,55.19,0,2.24,5.44,0,0,0,0,22.77,0.92,0,0
108-118,0,0,0,0,38.18,9.79,1,95.24,0,0,0,42.56,1.96,0,0.43,0,0.67,0,12.42,2.03,2.16,8.4,0,0,1.82,132.83,0,1.21,153.06,0,2.12,0,0,0,0,3.93,0.51,3.49,0,0
120,0,0,0,0,13.49,20.59,0,151.34,0,0,0,36.19,0,0,0,0,0,0,4.58,3.92,0,6.37,0,0,1.59,67.18,0,0,160.38,0,0,0,0,0,0,0,0,1.31,1.43,0
