stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,14.19,0,0,5.16,0,0,0,0,0
 10-12,0,0,0,71.11,0,0,4.32,0,0,0,90.04,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,21.31,0,0,0,0,0,0.95,39.7,0,0,0,0,0,0,0,0
 24-34,0,0,0,126.46,0,0,0,0,1.32,7.97,53.6,0,0,0,0.83,6.24,0,0,0.89
 36-46,0,0,0,175.21,0,0,0,1.67,0,0,72.12,0,0,0,2.79,27.33,0,0,0.85
 48-58,0,0,0,132.29,11.92,0,0,0,0,0,44.1,1.63,0,0,0,12.24,0,0,0
 60-70,0,0,0,179.29,3.93,0,0,0,0.9,0,54.18,0,0,0,11.02,2.42,0,0,0
 72-82,0,0,0.6,200.96,5.73,0,0,0,1.97,0,74.07,0,0.88,0,7.33,2.83,0,0,0
 84-94,0,3.12,0,147.65,6.98,0.58,0,0,0,0,12.36,0,0,0,6.52,7.09,0,0,0
 96-106,0,0.88,0,79.02,4.9,0,0,0,6.99,0,24.41,0,0,0,8.56,0,0,5.63,0
108-118,0,1.24,0,138.36,5.19,0.5,0,0,0.64,1.69,67.23,0,0,0,5.42,0,1,0.68,0
120,0,0,0,152.29,6.92,0,0,0,0,1.04,89.97,0,0,0,4.62,0,0,0,0
