stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0
 36-46,0,0,0,0,1.24,0,1.49,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,2.32,0,0,0,0
 48-58,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.51,0,8.56,0,0,0,0,0,0,0,0,0,0,0,11.31,0,0,0,0,0.84,0,0,0.85,0
 72-82,0.68,0,6.1,0,5.36,0,15.15,35.37,0,0,0,0,0,0,4.42,0,0,0,60.63,0,0,0.74,0,0.79,0,2.46,21.05,0
 84-94,2.24,0,0,0,7.58,0,10.87,37.95,0,0,0,0,0,0,6.4,0,1.17,0,41.15,0,0,0,0,1.95,0,0,4.48,0
 96-106,2.02,0.71,9.94,0,15.12,0.86,7.44,517.86,0,0,0.85,1.03,0.66,2.34,17.28,1.15,0,2.44,163.86,1.36,2.66,15.83,0,8.54,0.59,3.36,21.54,0
108-118,2.99,4.56,2.57,0,20.07,0.42,29.58,983.31,1.01,2.3,0,0,0,5.33,15.28,0,2.19,0.75,219.19,0,0,15.58,0,5.24,0,0.93,14.01,0.48
120,0,4.31,0,11.16,57.13,0,41.73,774.65,0,4.53,0,12.84,0,35.63,65.68,0,0,7.9,364.26,0,0,0,1.69,3.79,0,0,100.43,0
