stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.1,0,0,0,18.11,0,3.1,7.71,0,0,0,0,0,0,0,0
 14-21,0,1.14,434.18,0,0,0.84,0,3.94,0,0,3.08,0,0,0,0,0,0,0,17.71,5.32,0,20.86,52.3,0,2.33,1.14,0,0,0,0,2.09,2.82,36.43,0,0,0,0,0
 24-34,0.62,0.64,655.83,0,0,2.77,0,38.43,0,19.59,3.57,5.11,0,0.62,0,0,1.16,0,54.07,5.86,0,41.75,958.72,1.82,56.15,6.38,0,0,6.81,0,1.98,1.54,323.87,0,0,0,0,0
 36-46,0,0.56,260.51,0,0,25.13,0,42.22,0,71.45,0,2.21,0,0,0,1.62,0,0,129.14,0,0,34.33,2334.1,0,108.07,7.38,0,0,13.47,2.69,0,0,626.61,0,1.25,3.42,0,8.93
 48-58,0,0,97.61,0,0,81.87,1.1,31.04,13.66,114.42,0,2.85,0,0,0,0,0,0,204.63,2.94,5.21,26.57,4026.41,9.72,47.64,8.93,0,2.02,11.75,1.17,0.4,0,737.93,0,1.83,1.53,0.78,0.54
 60-70,0.91,0,61.47,0,0,619.61,0,27.58,14.66,157.45,0,6.88,15.41,0,0.7,0.63,1.2,0,394.23,0,3.37,47.75,8841.72,5.22,46.51,14.33,0,2.06,6.26,0.93,2.94,0,1448.16,0,5.06,0,6.38,20.97
 72-82,5.72,0,70.01,1.45,0,1205.52,0.88,31.66,58.68,288.75,2.66,4.72,7.05,4.34,3.46,1.3,1.36,0,678.95,0,46.88,48.33,11189.18,0,67.36,6.8,0,24.09,9,0.73,0,0,1476.01,2.43,13.55,7.25,18.44,9.9
 84-94,0,0.57,64.39,2.28,0,1257.11,3.32,32.41,32.31,300.05,5.39,10.06,0,0.76,3.69,2.17,2.93,0,640,0,50.68,56.58,7786.14,2.22,42.29,14.52,0,4.11,13.03,10.45,0,0,890.4,0,7.13,0,23.88,9.74
 96-106,7.3,0.59,95.36,16.64,19.67,1129.95,4.08,36.16,19.5,299.96,7.13,0,0.78,0.81,9.51,4.79,6.97,0,665.31,14.48,43.9,63.85,7135.71,0.74,74.72,11.43,0,17.99,4.71,2.28,0,0,548.53,3.52,3.91,4.17,8.8,0.86
108-118,2.85,0,110.26,6.36,0,1208.95,0.42,64.28,38.72,379.62,5.25,0.69,1.85,2.07,14.34,0,10.79,0,827.21,2.89,67.64,46.3,7437.27,0.89,52.66,14.14,0,26.91,8.43,0.58,0,0,393.66,3.54,6.37,1.73,20.97,11.06
120,0,0,118.65,2.67,0,1828.14,1.26,35.15,58.9,462.83,7.91,2.63,8.05,5.24,8.18,2.98,6,1.61,1136.94,0,50.72,26.97,12347.5,1.24,25.35,9.76,0,43.8,14.59,1.58,0,0,541.32,2.31,0,14.05,19.05,2.34
