stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,80.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,41.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0,0,0,0,0,0,0
 10-12,0,4.29,6.41,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0.97,0,0.84,0,1.11,0,0
 24-34,0,0,0,0,0,0,0,0,4.15,0,0,0,0.75,0,112.26,0,0,0,0,0,0,37.37,0,0
 36-46,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,285.47,0,0,0,0.78,0,0,43.93,0,0
 48-58,0,0,0,0,0,11.61,0,0,2.79,0,0,0,2.99,2.52,487.23,0,0,0,0,0,0,66.22,0,0
 60-70,0,0,0,1.27,0,30.37,1.4,0,2.7,0,0,0,3.59,0,771.76,0,0,0,0,0,0,81.54,0,0
 72-82,0,0,0,0,1.26,76.39,0,1.17,7.99,1.13,0,4.19,7.8,0,782.61,0,0,0,0,0,1.05,80.12,0,0
 84-94,0,0,0,4.02,0,73.34,0,1.18,9.14,0,0,0,1.71,0.85,504.87,1.54,1.44,0,0,0,0,59.4,0,0
 96-106,0,0,0,1.22,0,53.4,0,1.65,2.08,0,0,0,3.88,0,472.36,0,0,0,0,0,0,20.73,0.93,0
108-118,0,0,0,5.86,0,51.94,0,0,7.25,0,0,0,3.94,0,489.68,1.44,0,0,0,0,0,11.22,0,0.43
120,0,0,0,4.85,0,26.66,0,0,32.05,3.69,2.26,0,16.23,0,757.46,0,0,0,0,0,0,24.38,0,0
