stage,blastomeres,epidermis,eye,fin_epithelia,mesenchyme,mucous,neural,periderm
  5-6,6.06,0,0,0,0,0,0,0
 60-70,0,0,7.33,29.3,13.58,0,0,0
 72-82,0,0,1.76,0,404.44,0,7.54,0
 84-94,0,10.91,0.99,1.36,150.4,0,7.82,0
 96-106,0,9.01,0,6.8,162.63,2.16,12.4,0.69
108-118,0,3.05,0,0.53,54.17,0,2.91,0
120,0,3.16,3.08,22.05,289.45,0,18.12,3.82
