stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.21,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.94,31.16,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,553.04,0,0,0,0,0,0,0,0,12.7,124.91,0,0,0,0,0,15.35,0,0,3.88,2.92,0,0,1.22,0,0,3.05,6.16,0,2.32,0,0,112.47,0,0
 24-34,0,0,13.29,334.87,0,2.93,0,0.9,0,0,0,1.15,92.22,143.08,3.9,0,0,3.11,0,43.29,0,0,11.81,93.83,1.56,0,0,0,0.94,0,0.63,0,1.87,2.65,0,956.85,0,0
 36-46,0,0,18,59.87,0,4.5,0,0,0,6.77,0,0,67.26,82.79,0,0,0,0,0,4.31,0.84,1.47,0,177.84,0,2.74,0,0,1.02,0,8.66,0,0,1.96,0,591.36,0,0
 48-58,0,0,19.48,35.69,0,22.92,0,1.11,0,11.07,0,6.2,61.42,18.34,0,0,0,0,3.84,22.84,0,8.5,0.75,100.81,0,0,0,8.96,0,0,0.89,3.57,0,1.51,0,728.37,0,0
 60-70,0,0,13.56,52.57,0,14.61,0,0,0,0,0,4,49.65,46.06,13.43,0,0,0,0,42.96,0,0,0,187.01,0,0,0,3.05,0.59,0,0,0,0,2.56,0,469.41,0,9.38
 72-82,0,0,9.12,199.04,0,19.21,0,3.38,0,11.32,1.76,0,107.02,220.16,48.4,0,1.51,0,0,48.21,0,2.02,0,109,0,0,0,8.45,3.23,0,4.26,1.5,0,11.81,0,597.32,0,0
 84-94,0,0,55.17,50.29,0,67.61,0,1.34,1.9,2.01,3.26,0,44.93,251.56,38.07,0,0,3.72,0,24.01,0.85,4.47,0.94,242.93,0,0,11.35,15.36,5.01,0,1.63,0,0,0,0,492.5,8.76,0
 96-106,0,0,53.38,181.24,16.05,66.83,1.46,2.08,1.54,15.12,0,0,77.36,335.36,611.67,3.02,0,12.09,0,135.02,1.01,15.42,1.9,789.22,0,0.59,2.94,18.94,18.11,0,9.35,0,0,15.14,0.59,765.07,10.85,6.58
108-118,0,0,20.88,112.24,0,41.43,0,2.16,0.74,10.74,0,0,26.1,278.99,344.46,0,0.98,5.53,0.89,53.92,0,6.5,0.44,1284.88,0,0,14.75,5.01,10.86,0,7.78,0,0,7.55,3.84,579.38,0.62,0
120,0,0,129.67,160.97,0,85.36,0,0,12.08,26.15,6.97,0,48.54,218.95,545.17,0,1.07,22.38,0,34.5,1.16,7.06,11.52,1556.54,0,0,0,7.74,22.42,0,0,0,0,114.64,0,632.4,3.21,0
