stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,100.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.52,145.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,101.48,3.28,0,0,17.76,0,4.29,0,0,0,0,0,0,0,0,0
 10-12,0,5.27,13.08,0,0,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,100.85,7.1,0,0,10.87,0,0,0,0,17.68,0,0,0,0,0,0
 14-21,0,0,0,5.53,3.69,0,0,0,3.19,0,0,0,0,0,0.86,2.33,0,0,7.24,54.6,1.08,0,2.65,0,0,0,0,2.79,0,10.17,17.74,0,0,0,0
 24-34,0,0,1.21,1.26,0,0,0,0,1.72,0,1.73,0,0,0,0,1.09,0,0,0,36.79,0,1.18,0,0,0,3.52,0,0,0,0,5.84,0,2.41,0,0
 36-46,0,0,0,13.79,0,3.77,0,0,0,0,0,0,0,0,0,4.24,0,0,3.45,51.03,0,0,0,0,0,1.58,0,0,0,0,21.5,0,0,0,0
 48-58,0,0,0,1.52,0,30.13,0,0,6.42,0,0.58,0,0,0,0,11.98,0,0,2.62,106.7,0,0.87,0.43,0,0,1.18,0,0,0,0,24.66,0,6.32,0,0
 60-70,0,0,0,0,0,11.18,2.46,0.68,6.05,0,0,0,0,0,0,13.42,0,0,0,66.91,0,0,0,0,0,6.05,0,0,0,0,9.39,0,2.65,0,0
 72-82,0,0,0,0.71,1.43,27.81,0,1.88,6.52,0,0,0.63,0,0,0,34.21,0.61,3.09,3.49,164.62,0,0,1.77,0,0,5.73,0,0,0,0,25.26,0.54,0.5,0.56,0
 84-94,0,0,0,1.42,2.13,12.78,0,0,1.12,0.86,0,1.36,0,1.43,0,18.24,0,0,1,55.67,0,2.69,0,0,0,5.51,0,0,0,0,9.77,0,1.23,0,0
 96-106,0,0,0,0,5.69,9.19,1.47,0,5.03,0,0,0.72,0,0,0,8.02,0,3.17,0,62.37,0,1.1,1.14,0,0,11.15,0,0,1.27,0,0,0,1.04,0,0
108-118,0,0,0,1.7,0,18.73,0,2.99,5.44,0,0,1.24,0,0.76,0,18.44,1.61,0.91,0.79,78.43,0,0.41,1.51,0,2.11,12.22,0,0,0,0,7.74,0.99,2.75,2.24,5.75
120,0,0,0,0,0,35.24,0,0,0,0,0,0,1.01,0,0,24.44,0,2.4,3.79,145.97,0,0,3.1,0,0,9.83,2.5,0,0,0,1.7,0,7.51,8.87,0
