stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.15,0,0,0,29.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.39,0,0,0,19.31,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.81,0,0,2.37,0,0,0,0.84,1.35,0.89,0,1.08,0,0,0,0,0,0,0,0,28.22,0,0,1,1.09,0,15.56,5.92,0,0,4.07,16.97,0,0,2.01,0,0
 24-34,0,0,0,4.12,0,0,5.46,0,0,3.48,0,0,7.73,0,0.69,0.7,0,0,0.95,10.06,0,0,1.5,117.99,2.91,2.32,0,0,0,36.76,0,0,0,0.6,17.31,0,0,0,0,0
 36-46,0,0,0,1.26,0,0,18.59,0,0.57,4.51,0.56,0,1.05,0,0,0,0,0.85,0,9.17,0,1.66,1.81,134.86,0.62,0,17.23,0,0,15.8,0,0,0,0.83,34.8,0,0,11.58,0,0
 48-58,0,0,0,9.21,0,0,24.3,3.76,0,6.18,0,0,0,0,0,0,0,0,0,6.46,0.53,0.42,5.96,120.17,0,1.71,0,0,0,5.4,0,1.21,4.53,0,16.98,0,0,0,0.9,4.77
 60-70,0,0,0,3.67,0,0,52.5,0,0,3.19,0,5.49,0,7.22,9.25,1.54,2.61,0,0,14.6,0,0,5.75,81.26,0,0,2.43,0,0,35.58,0,0,0,0,22.42,0,0,0,0,0
 72-82,0,0,0,3.57,0,0,69,0,0,11.12,1.02,0,0,0.68,0,0,0.79,1.6,0,20.09,1.08,0.55,4.28,131.54,0,2.57,0,0,0,23.93,0,0,0,0,2.8,2.82,0,5.62,1.98,3.5
 84-94,0,3.29,0,0.69,2.24,0,59.38,0,0,2.61,0,0,0,1.16,1.39,0,0.64,0,0.95,26.74,0,0,0.91,62.79,0,1.9,4.56,0,0,37.25,0,1.26,0,0,11.3,1.17,0.9,4.73,0,1.97
 96-106,0,0,0,3.02,9.16,0,20.78,1.21,3.53,7.02,2.94,0,0,0.58,0,0,0.88,0,0.98,9.49,4.13,0.69,3.82,29.11,0,3.96,0,0,5.37,78.37,0,0.61,0,0,0,0,0,0,0,0
108-118,0,0,0.74,3.92,0,4.11,44.17,5.23,0,17.96,2.88,0,0,1.95,1.9,0,1.6,0.87,2.61,30.48,5.12,3.97,2.28,106.58,1.34,1.92,1.22,0,0,57.58,0,0,0.46,0,2.82,1.33,3.05,1.3,0.87,3.13
120,0,0,0,24.77,0,5.18,88.77,1.72,0,65.45,7.63,0,0,4.77,0,0,0,1.12,9.24,11.08,0,6.89,0,157.73,0,0,15.62,0,0,40.32,0,0,2.33,0,13.91,0,0,0,0,2.59
