stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,45.18,25.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.84,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,12.06,0,0,0,0,0,0,0,0,0,72.08,10.16,0,0,18.48,0,0,0,0,0,0
 10-12,0,0,0,9.31,0,3.72,0,0,0,0,0,0,0,0,0,98.69,0,0,0,27.35,0,6.6,0,0,0,0
 14-21,0,0,1.05,0.95,2.75,0.86,0,0,1.11,1.23,0,0,2.77,0,5.42,27.78,0,0,0,0,0,0,3.37,6.61,0,0
 24-34,0,0,0,0.74,1.54,3,0,0.76,0,0,0,0,4.37,0,5.28,38.75,0,0.65,0,0,0,0,0,5.88,2.37,0
 36-46,0,0,0,0,0,6.17,0,0,2.4,0,0,0,1.92,0,0.57,16.43,0,0,0,0,2.32,0,0,5.99,0,0
 48-58,0,0,0,0,4.04,8.11,0,0,4.58,0,0.39,0.64,6.35,0,0,38.9,0,0,0.45,0,0,0,0,8.74,0,0.48
 60-70,0,0,0,0,0,19.96,0,0,6.85,0,0,0,3.4,0,0,41.73,0,0,0,0,6.16,0,0,9.38,0,0
 72-82,0,0,0,0,0.72,16.71,0,0,4.75,0,0,0,8.8,0.74,0.53,105.18,0,0.53,0,0,0.83,0,0,2.97,0,2.17
 84-94,0,0,0,0,5.24,14.66,0,0,1.61,0,0,0,5.23,0,0,20.25,0,0,0,0,2.97,0.8,0,1.52,0.78,0
 96-106,0,0,0,0,0.67,15.79,0.57,0,12.33,1.22,0,0,2.2,0,0,51.71,0,0,2.8,0,0.95,0,0,0,1.95,1.26
108-118,0,0,0,0,1.9,6.32,0.52,0,6.92,0,0,0,1.16,0,0,59.71,0,0,0,0,6.46,0,0,0,1.2,0
120,0,0,0,0,10.99,4.93,0,0,0,0,0,0,2.88,0,0,119.72,0,0,1.73,0,0,0,0,0,0,0
