stage,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,neural,olfactory,periderm,somites,spinal_cord,xanthophores
  3-4,10.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.87,0,0,0,0,0
 14-21,0,0.88,1.69,0,0,0,2.26,0,0,0.94,0,0
 24-34,0,0,9.78,0,0,0,3.71,3.29,27.26,0,0,0
 36-46,0,0.59,0,1.03,0,0,3.53,0,57.05,0,3.48,0
 48-58,0,0,3.78,0,0,0.42,0.43,0,46.06,0,5.35,5.51
 60-70,0,0,1.59,0,0,0,2.43,0,40.71,0,3.85,0
 72-82,0,0,0,0,2.03,0,0,0,12.65,0,0,0
 84-94,0,0,0.57,0,0,0,4.24,0,26.99,0,0,0
 96-106,0,0,0,0,1.63,0,1.53,0,32.38,0,0,0
108-118,0,0,0,0,0,0,2.42,0,20.45,0,0,0
120,0,0,0,0,0,0,0,0,5.79,0,0,0
