stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.96,31.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.32,233.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.52,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.44,27.38,0,7.55,0,0,0,25.23,0,0,0,0,0,13.32,0,0,0,0,0,0,0,0,0,0,288.67,25.74,0,0,166.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.45,0,10.72,0,9.56,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.67,0,0,0,156.92,0,0,0,0,7.06,0,0,7.02,0,0,0,0,0
 14-21,0,0,1.62,1.03,5.2,8.39,0,6.63,0,0,0,2.42,1.03,0,2.74,0,0,0,0,0,0,12.03,0,14.46,56.17,1.08,0,0,2.15,0,0,0,16.78,3.94,17.73,33.26,34.46,0,0,2.38,0,0
 24-34,0,0,0,0,2,0,0,8.34,0,0,0,1.11,0,0,5.12,0.65,0,0,0,0,0,19.78,1.52,7.03,142.98,0.59,0,6.3,0,0,0,0,0,6.07,0,8.03,39.23,0,0,3.8,0,1.38
 36-46,0,0,0,0,2.87,0,0,23.06,0,0,0,10.26,0.59,0,0,0,0,0,0,0,4.21,23.34,0.71,4.45,150.73,1.79,1.29,0,0,0,0.62,0,0,3.32,5.03,0,41.7,0,0,0.66,0,0.74
 48-58,0,0,0,0,0,0,0,54.08,0,0,2.33,27.98,0,0,0.8,0.85,0,0,0,2.63,0,28.26,0,8.67,175.96,1.42,0,0,0,0,2.84,0,0,2.28,1.89,0,54.54,0,0,1.52,0,1.38
 60-70,0,0,0,0,0.87,0.71,0,82.18,3.5,0,0,44.22,1.4,0,0,4.61,0,4.25,0,0,0,49.73,5.29,7.78,136.07,0,1.72,0.63,0,0.84,0,0,0,1.68,0,0,15.73,0,0.59,1.37,0,8.57
 72-82,0,0,0.62,0,0,7.25,0,56.75,0.5,0,0.75,40.67,3.24,0,0.9,0.68,0,3.21,0.6,0.88,0,61.06,0.51,5.17,114.64,0,2.65,1.16,0,0,0,0,0,0.64,0,0,2.75,4.15,4.73,3.22,0.93,6.28
 84-94,0,0,2.66,0,3.42,0,0,43.37,1.17,2.93,0.59,31.47,5.09,1.22,0,1.22,0,0.63,0.72,1.62,0,57.23,3.8,6.64,101.19,1.56,0.71,6.52,0,0,0,0,0,0,0,0,15.46,1.5,2.9,0.86,0,0
 96-106,0,0,1.37,0,2.1,0,0,41.03,0,2.37,0,20.2,0.97,0,0,2.09,0,0,2.5,7.69,0,38.38,0,1.26,65.56,0,4.4,3.52,0,0,0,2.06,0,0.69,0,0,4.81,0,0,3.18,0,1.51
108-118,0,0,0.91,0,1.19,0,1.91,21.92,0.42,0,2.53,17.33,0.49,0,0,0.59,1.04,6.6,1.59,0,0,39.05,0,3.18,75.34,0,0,4.04,0,1.49,1.06,0,0,0,0,0,11.57,0,0.56,0.99,0,0.75
120,0,0,5.88,0,4.06,0,0,32.96,0,0,0,36.86,23.5,0,0,0,0,4.03,5.4,1.1,0,23.59,0,2.71,122.24,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0
