stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,iridophores,liver,mesenchyme,neural,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,taste,vasculature
  3-4,12.63,479.95,0,0,0,0,0,0,0,0,0,0,39.23,0,0,0,0
  5-6,22.61,287.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,26.91,10.47,0,0,0,0,0,0
 10-12,0,0,0,0,5.96,0,0,0,0,14.91,4.79,0,0,4.94,0,0,0
 14-21,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,2.68
 36-46,0,0,0,0,0,0,0,24.55,0,0.7,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,12.67,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,5.72,0,1.4,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.09,0,2.34,9.34,0,0.65,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,7.92,0.74,6.82,0,0,0,0,0,2,0
 96-106,0,0,0,0,6.46,1.4,0,15.48,0,1.36,0,0.97,0,0,0,0,0
108-118,0,0,3.88,0,0,0,0,15.92,1.6,3.16,0,0,0,0,0.45,0,0
120,0,0,0,2.17,0,0,0,53.66,0,3.73,0,0,0,0,0,0,0
