stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0
  5-6,15.27,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15.71,0,0,0,0,4.81,0,0,0,0,3.42,0,4.13,32.25,0,1613.54,0,0,22.72,0,0,0,2.24,15.18,0,0,11.11
 24-34,0,0,0,10.51,5.59,12.74,0,0,4.68,0,0,0.88,19.26,16.43,0,0.73,17.49,3.88,7151.81,15.72,3.41,79.57,6.37,0,3.79,0,139.56,0.79,0,10.59
 36-46,0,0,0.96,4.23,0,21.25,0.94,0,10.53,0.74,0,0,0,22.92,0,4.22,5.89,3.76,5608.64,0,0,56.01,0,7.4,0,0,298.73,3.71,0,6.72
 48-58,0,0,0,2.05,0,31.28,0,0,16.86,0,0,0,0.55,19.14,3.27,1.33,13.17,1.75,2572.42,0,0,56.8,0.43,0,0.46,0,326.06,0,0,6.57
 60-70,0,0,0,0,0,9.24,0,1.04,50.75,0,0,0,0,32.56,0,0,5.55,0,358.7,0,0,43.56,0,0,0,0,40.27,0,0,4.3
 72-82,0,0,0,5.12,1.43,9.21,0,0,33.68,0,0.89,0,0,54.38,0,0,4.55,0,337.29,0,0,146.47,0,0,0,0,12.76,0,0,11.48
 84-94,0,0,0,0.7,0,22.53,0,0,28.39,4.51,0,0,0.79,72.67,0,0,4.66,0,148.42,0,0,213.65,0.92,0,0,0,31.63,0,0,0
 96-106,0,0,0,8.05,4.33,16.59,0,0,47.5,0,0,2.54,0.77,79.72,1.06,0,7.62,0,100.84,0,0.68,223.24,1.49,0,0,0,0,0,0.76,0
108-118,0,0,0,3.24,0,17.72,0,0,78.77,0,0,2.13,0,83.69,0,0,3.64,0.47,161.65,0,0,159.24,0,0,0,0,4.77,1.24,1.01,0
120,1.12,0,0,9.82,0,35.55,0,0,24.7,0,0,6.39,0,34.67,0,0,13.19,1.04,112.6,0,0,235.72,0,0,0,0,0,0,0,0
