stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,225.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.78,203.83,0,0,0,0,0,0,0,0,0,0,24.58,0,0,0,15.69,0,0,0,0,0,0
  7-9,4.29,0,0,0,17.44,0,0,0,0,0,0,0,81.07,0,0,35.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,116.15,11,0,22.53,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,5.24,0,3.48,10.2,0,0,0,0,3.82,7.45,5.57,5.06,0,0
 24-34,0,0,0,0.83,0,0,0,1.24,0.69,14.22,0,14.52,29.48,0,1.33,0,0,0,3.76,9.13,0,0,0
 36-46,0,0,0,0,2.57,3.73,0,0,0,23.95,1.79,8.47,22.25,0,0,0,1.45,0,0,0,0.58,0,0
 48-58,0,0,0,0,0.57,0.51,0,0,0,26.37,1.6,9.29,21.77,0,0,0,0,0,0,0,0.82,0,0
 60-70,0,0,0,0,2.43,2.33,0.63,0,0,28.69,0,5.63,8.74,0,0,0,0,0,6.21,0,0,0,0
 72-82,0,0,0.58,0,0.57,1.78,0,0,0,22.79,5.79,6.2,2.19,0,0,0,0,0,0.53,0,0,0,0
 84-94,0,0,0,0,1.63,0,0,0,0.73,18.56,0,5.69,0.58,0,0,0,0,0,0.63,0,0,1.7,3.06
 96-106,0,0,0,0,0.68,0.77,0,1.48,0,18.43,1.03,1.41,2.38,0,0,0,2.71,0,0,0,0,0,0.67
108-118,0,0,0,0,0,0.52,0,0,0,10.06,0.97,1.31,0,0,0.48,0,0.42,0,0,0,0,0,0
120,0,0,0,0,0,1.04,0,0,0,8.55,0,3.83,3.9,0,0,0,0,0,0,0,0,0,3.92
