stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,208.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.38,597.24,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,36.09,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.6,8.76,0,26.35,0,0,45.85,0,0,0,0,0,19.47,0,0,0,0,0,0,0,0,0,0,698.64,19.02,0,0,356.67,0,7.13,0,0,0,0,0,0,0,0,0
 10-12,0,33.09,0,17.16,0,6.22,16.75,0,0,0,0,0,15.83,0,0,0,0,0,0,0,0,0,0,1321.5,9.41,0,0,459,0,0,0,26.71,0,0,0,0,0,0,0
 14-21,0,3.39,1.64,20.69,3191.36,199.87,67.94,0,1.73,0,26.92,11.01,6.86,0.97,0,75.03,1.37,1.12,13.07,87.08,1.49,0,181.42,3401.32,31.95,7.78,154.22,331.66,0,723.08,1291.91,47.57,189.04,1763.05,1546.28,0,0.86,0,6.5
 24-34,0,0,0,0,52,0,6.72,0,2.52,0,5.4,0,0,0,0,1.49,0,10.29,4.09,27.83,0.68,0,20.07,760.53,0,18.75,0.67,0,0,379.97,0,0,26.51,9.54,80.85,0,1.79,0,5.49
 36-46,0,0,0,0,14.02,0,17.81,0,0,0.82,5.81,0,0,0,0,0,0,0,0,4.93,1.39,0,3.09,170.22,0,9.36,0,0,0,201.54,0,0,6.21,0,24.55,0,0.65,0,5.23
 48-58,0,0,0,0,10.93,0,11.06,0.9,0,0,5.78,0,0,0,4.89,0,0,0,0,3.82,0,0,1.7,128.48,0,3.43,0,0,0,64.08,0,0,0,0,17.42,0,3.63,0,0.54
 60-70,0,0,0,0,2.78,0,7.7,0,0,0,2.21,8.58,0,0,0,0,0,0,0,14.04,0,2.42,2.67,61.53,0,0,0,0,0,28.47,0,0,2.16,0,4.16,0,2.92,0.73,0
 72-82,0,0,0,0,0.66,0,10.24,2.65,0,0,4.3,5.48,0,0,0,0,0,0,0.98,34.27,0,0,3.06,34.06,0,1.17,0,0,0,20.76,0,0,0,0,1.06,1.88,9.28,0,7.42
 84-94,0,0,0,0,8.11,0,6.05,0,0.83,2.26,0.56,10.39,0,0,0,0.62,0,0,0,12.34,0,1.94,0.86,12.84,0,1.87,5.57,0,0,62.58,0,0,0,0,0,0,19.89,0,0
 96-106,0,0,0,0,2.79,0,16.91,0,0,0,0,5.86,0,0,0,0,3.46,0,0,8.34,0.78,0,0.87,32.95,0,0.57,0.8,0,1.03,19.84,0,0,0,0,0,0,3.88,0,0
108-118,3.02,0,0,0,2.41,0,1.52,0,0,0,6.07,4.31,0,0,4.65,0,3.03,0,0,18.5,0,1.21,0,12.82,0,0,1.18,0,3,11.51,0,0,0,0,0,0,4.82,0,0
120,0,0,0,0,0,1.1,3.12,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,4.76,3.67,0,0,0,0,0,0,16,0,0,0,0,0,0,1.46,0,0
