stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.78,0,0,0,0,0,0,0,0,0,24.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.53,0,0,0,4.89,5.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,83.8,14.96,0,0,7.63,0,7.31,0,0,0,0,0,0
 14-21,0,0,0.94,2.74,0,0,0,0,17.29,0,0,0,0,0,0,0,3.16,0,2.81,27.27,0,0,0.94,0.92,0,21.92,1.82,56.75,0,0,1.63,0
 24-34,0,0,0.59,1.31,0,8.69,0,1.93,24.6,0,0,0,0,0,0.6,0,1.27,0,1.13,119.39,0,0,0,0,0,12.29,1.37,59.72,0,0,2.13,0
 36-46,0,0,0,0,0,49.93,0,0.87,47.59,0,0,0,0,0,0,0,3.52,0,0,198.62,0,1.48,0,0,1.61,20.07,0,81.74,0,0,3.85,0
 48-58,0,0,0,0.37,0,73.73,0.67,1.21,31.23,0.42,0,0.52,0,4.71,0,0,2.58,0,0.75,213.02,0,5.65,0.42,0,2.13,0,0,82.59,0,0,0.38,0
 60-70,0,0,0,0,0,104.06,0,8.4,48.79,0,0,0,0,3.45,0.77,5.94,5.63,0.62,0,94.56,0,2.83,3.42,0,0,0.85,0,17.67,0,0,0,0
 72-82,0,0.49,0,0,0,28.82,0,1.36,38.5,0.93,0,0,0,1.42,0,0,6.37,0,0.55,36.02,0,0.74,5.21,0,0,0,0,19.23,0.87,0,0,0.54
 84-94,0,0,0,1.48,0,22.26,0,0,28.94,0.84,0,0,0,0.64,0,0,3.51,0,0,31.46,0,0,5.19,0,0,1.94,0,17.16,0,1.49,0,0
 96-106,0,0,0,0,0,18.81,0,0,21.93,0,0,0,0.58,0,1.57,0,1.75,0,0,27.97,0,2.97,1.71,0,0,0,0,18.24,0,0,0,2.04
108-118,0,0,0,0,0,20.81,0,0,17.91,0.91,0,0,0,0.7,3.21,0.47,4.94,0,0,22.55,0,3.51,2.43,0,0,0,0,10.86,0,0,1.93,0
120,0,0,0,1.18,3.69,8.26,0,0,15.82,0,0,0,0,0,4.72,1.51,19.61,0,0,32.44,0,22.01,39.75,0,0,1.12,0,21.31,0,0,6.37,0
