stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,34.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,3.96,0,0,28.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.59,0,1.08,0,0,1.98,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,500.1,0,1.86,0,0,0,0,0,0,0.92,140.98,0,0,0,0,0
 24-34,0,0,4.12,0.59,5.81,0,0,22.1,0,0,0,0.75,0,2.27,0.68,0,0,0,0,0,0,0.9,0.87,0,1.22,747.8,0,30.33,2.83,0,0,1.7,0,0,0,260.49,0,0,2.65,0,0
 36-46,0,0,2.75,0,1.7,0,0,88.95,0,0,1.14,6.23,0,0,0,0,6.5,0,0,0,0,0.76,0.56,0,1.89,1158.66,0,48.46,1.06,0,0,2.29,0,0,0,340.61,0,0,0,0,0
 48-58,0,0,1.85,0,12.34,0,0,152.23,0,0.4,1.38,18.73,0,0,0,0,5.12,0,0.47,0,0,19.09,0.81,0,4.99,1426.34,0.51,25.32,0,0,0,0,0,0,0,298.55,0,0,0.52,0,10.15
 60-70,0,0,0.91,0,7.14,0,0,440.04,0,0,0.98,31.93,0,0,0,0,0,0,0,0,0,20.77,5.63,0,1.19,1938.34,0.63,16,0,0,0,4.78,0,0,0,374.91,0,0,0,0.57,4.24
 72-82,0,0,3.14,0,10.43,0.88,0,696.87,0,2.82,0,57.61,2.55,0,0.56,10.42,0,0,0,1.65,0,39.44,0,0,0,2559.53,0.53,43.84,0.76,0,1.4,5.2,1.77,0,0,270.83,0,0,0,5.98,5.43
 84-94,0,0,4.32,0,7.86,8.87,0,586.05,0,0.68,1.18,50.45,2.82,0,0,2.13,0,0.67,0.8,0,0,28.92,4.49,0.86,3.58,1948.73,0,31.23,0.69,0,0,12.23,1.26,0,0,169.1,0.56,0,1.19,3.9,0
 96-106,0,0,0.74,0,7.6,21.12,0,733.25,1.34,4.57,0,86.49,3.78,1.06,0,0,0,2.73,0,11.93,8.34,22.62,7.77,0,0.62,1795.82,0,48.1,2.45,0,3.01,9.9,0,0,0,91.89,4.84,0,0,17.18,20.65
108-118,0,0,4.56,0,23.17,0.57,6.2,559.59,0.44,1.93,1.1,60.42,12.73,0,0,0,1.01,1.01,0,2.55,2.8,20.35,12.26,3.6,3.82,2642.88,0,24.77,0.43,0,1.23,10.13,0.61,0,0,112.07,1.56,1.06,2.03,6.15,0
120,0,0,2.94,0,12.39,0,0,562.39,0,1.06,0,127.36,8.01,0,0,20.39,0,0,0,1.58,0,25.75,0,22.36,2.57,4475.75,0,33.11,11.88,0,0,3.89,0,1.63,0,124,0,1.52,0,28.73,0
