stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,23.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,9.45,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,1.16,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.39,0,0.73,12.02,0,0,3.43,0,0,0,8.48,0.76
 36-46,0,0,0,1.06,0,0,0,0,0,0,0,0,0.6,52.75,0,0,4.62,0,1.56,0,3.96,0
 48-58,0,1.78,0,2.49,0,0,0,0,0,0,1.17,0,1.25,101.73,0,0,5.07,0,2.44,0,10.22,6.72
 60-70,0,0,0,23.78,27.73,8.89,0,0,2.72,0,4.27,0,0,206.91,0,0.63,1.36,0,0,0,34.23,4.2
 72-82,0,2.18,0.67,15.12,0,5.73,0.71,0,0,0,5.08,2.02,0,262.61,0,0,0,0,0,0,10.36,1.59
 84-94,0,0,0,14.05,0,0,0,0,0,0.83,1.47,1.07,0,155.2,0,2.77,0,0,0,0,12.69,3.82
 96-106,0,4,0,11.4,0,4.67,0,0,0,0,5.22,0.62,0,170.77,0,0,0.69,0,0,0,19.06,1.05
108-118,0,0,0,21.05,0,8.78,0,4.02,0,0,1.06,0,0.79,108.62,0,0,1.58,0.43,0.42,0,1.73,1.07
120,0,0,0,29.24,0,10.07,0,0,0,0,18.36,0,0,230.33,0,8.85,0,1.21,0,0,7.32,5.28
