stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.99,242.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,120.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.74,4.49,0,0,43.39,0,0,0,0,0,0,0,0,0,0,0,105.44,3.96,0,0,91.25,0,0,6.94,0,0,0,0,0,0,0
 10-12,0,9.43,16.4,0,0,25.78,0,0,0,0,0,0,0,0,0,0,0,202.02,32.44,0,0,81.15,0,0,0,0,28.7,0,0,0,0,0
 14-21,0,0,0,0,0.8,1.86,0,0,0.82,0,0,0,0,0,3.72,0,4.69,38.22,0.87,0,0,0,0,2.49,0,3.27,0,3.92,16,0.99,0,0
 24-34,0,0,0,2.59,1.03,3.35,0,0,1.07,0,0,0,0,0,1.9,0,2.08,43.4,0,0,0,0,0,1.86,0,0,0,0.61,7.62,0,0,0
 36-46,0,0,0,0,0,23.03,0,0,0.76,0,0,0,1.17,0,8.83,0,0,88.14,0,0.64,0,0,0,0,0,0,0,0,16.84,0,0,0.85
 48-58,0,0,0,0,3.17,18.96,0,0,4.3,0,0,0.37,0,0,4.79,0,0,42.78,0,2.85,0,0,0,2.35,0,0,0,0,12.99,1.92,0,0
 60-70,0,0,0,8.94,0,40.8,0,0,12.97,0,0,0,0,1.35,21.17,0,0,53.89,0,1.31,1.81,0,0,0.6,0,0,0,0,6.51,0,0,0
 72-82,0,0,0,0.72,6.28,43.23,0,1,7.43,0,0,0,0,0,9.22,0,0.59,47.89,0,0,2.15,0,0,0,0,0,0,0,3.06,0,0.57,0
 84-94,0,0,0,0,3.09,51.28,0,0.64,6.22,0,0,0,0,0,6.24,0,1.79,24.41,0,0,2.5,0,0,0,0,0,0,0,7.45,0,0,0
 96-106,0,0,0,2.87,11.6,29.97,0.9,0,27.2,0.71,0,0,0,0,6.19,4.05,3.53,53.61,0,19.96,0.9,0,1.04,0,0,0,0,0,3.57,3.01,0.8,0
108-118,0,0,0,5.62,2.95,42.82,0,0,11.81,0,0.99,0,0,0,18.1,0,1.58,58.31,1.55,1.07,0.72,0,0,0,0,0,0,0,0,0.53,0,0
120,0,0,0,0,16.9,7.65,0,0,27.15,0,0,0,0,0,17.72,0,4.33,66.14,0,11.74,0,0,0,0,0,0,0,0,0,0,0,0
