stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,neural,periderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,11.98,0,0
  5-6,10.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.54,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.03,0,0,0,0.85
 24-34,0,0,1.49,0,0,1.53,0,2.81,0.77,0,0,0
 48-58,0,0,0,0.44,0,0,0,0.37,0,0,0,0
 60-70,0,0,0,2.98,0,0,0,0,0,0,5.98,0
 72-82,0,0,1.52,0,4.81,0,0.75,1.59,3.78,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.62,0,0,0
 96-106,0,0,0,0,13.06,0,3.6,0,9.06,0,0,0
108-118,0,0,0,0,3.9,0,2,0.5,1.62,0,0,0
120,0,0,0,3.33,0,0,3.35,0,35.62,0,0,0
