stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1.03,8.77,9.27,0,0.84,0,0,0,100.86,0,0,0,0,0.85,8.6,0,0.91,129.25,3.55,1.54,16.48,3.38,0,140.18,0,1,252.5,0,0,0,0
 24-34,0,0,1.39,0,0,3.03,0,0,0,95.51,0.84,0,5.88,0,0,16.82,0,1.36,173.77,0.95,4.7,3.79,0,5.5,24,0,2.75,228.71,0,0,0,0.79
 36-46,0,0,0,0,0,8.85,0,8.76,0,63.2,0,0,1.44,0,0,2.06,0.56,0.75,171.12,0,14.69,0.8,0,0,9.91,0,0,137.81,0,0,0.84,0
 48-58,0,0,0,0,0,13.42,0,0,0,58.52,1.98,0,1.96,0,0,14.83,0,0.38,194.57,0,4.46,1.11,0,0,3.86,0,0,126.89,0,0,0,0
 60-70,0,0,2.88,0,0,16.77,0,0,0.63,47.92,0.63,0,1.79,0,0,3.23,0,0,130.74,0.58,14.16,7.1,0,0,8.4,0,0,56.75,0,0,0,0
 72-82,0,0,0,0,0,22.69,0,0,0,44.08,0,0,2.44,0,0,12.24,0,0.66,91.05,0,30.25,5.45,0,0,1.21,0,0,28.74,0,0,0,0
 84-94,2.7,0,0,0,0,31.78,0,0,0,17.85,0,0,1.22,0,0,7.95,0.6,0,103.4,0,19.51,11.91,0,0.72,7.07,0,0,47.28,0,0.63,0,0
 96-106,1.56,0,0,0,0.8,29.81,0,0,0,31.02,0,0,10.54,0,0,7.16,0,0,50.9,0,16.74,17.84,0,0,1.18,0,0,30.46,0,0,0,0
108-118,0,0,0.45,0,0,14,0.67,0,0,22.63,0,0.49,7.07,0,0,12.56,0,0,89.84,0,9.6,14.7,0,2.2,1.3,0.66,0,14.55,0.67,0.53,1.07,0
120,0,0,0,0,0,30.06,0,0,0,5.15,0,0,3.91,6.32,0,0,0,0,106.07,0,17,27.06,0,0,1.87,0,0,3.32,0,0,0,0
