stage,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
 14-21,2.06,0,0,0,0,0,0,0,0,1.23,0,9.51,1.75,0,7.13,0.88,5.02,1.98,0
 24-34,0,3.21,0,0,0,0,0,1.01,0,3.79,1.13,13.37,0,3.89,0,0,0,3.4,0
 36-46,0,2.46,3.16,0.76,0,0,0,0,0,1.4,0.73,22.93,0,0,0,0,0,3.64,2.52
 48-58,0,19.33,0,0,0,1.19,0,4.84,0,2.3,0,10.86,0,0.38,0,0,0,5.2,0
 60-70,5.66,1.55,0,4.05,0,0,0,0,0,1.58,0,5.63,0,0,0,0,0,0.82,1.5
 72-82,0,2.05,0,1.36,0,0,0,0,0,3.54,0,8.91,0,1.71,0,0,0,1.08,0
 84-94,1.73,2.76,1.43,0,0,0,0,0,0,2.7,0,30.23,0,0,0,0,0,0,4.19
 96-106,0,1,0,0,0.83,0,0,0,1.7,0,0,3.23,0,0,0,0,0,0,1.8
108-118,8.15,4.69,0,0,0,0,0,0,0,5.76,0,8.84,0,0,0,0,0,0,0.97
120,1.09,7.71,0,3.18,0,0,2.3,0,0,10.5,0,9,0,0,0,0,0,0,0
