stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.67,75.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.09,0,0,0,0,0,0,0
  5-6,0,96.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,0,0,0,0
  7-9,0,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18,0,0,0,12.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.78,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,85.26,9.3,0,0,9.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,2.39,0,0,0,0,0,1.32,1.33,1.46,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,2.46,5.94,0,0,0,0,0,0,0,3.4,0,0,0,0
 36-46,0,0,0,0,0,0,0.95,0,0,0,0,0,0,2.76,0,0,0,0,2.79,0,0,1.82,18.98,0,2.31,0,0,0,0,0,2.56,0,0,0,0
 48-58,0,0,0,0,0.4,0,7.65,0,0.42,0,0,0,0,0,9.76,0,0,0,3.42,0,0,0,17.05,0,0,0.45,0,0,0,0,2.75,0,0.58,0,0
 60-70,0,0,0,0,0,0,2.16,0,0,6.33,0.6,0,0,0.95,0,0,0,0,5.93,0,2.88,0,10.13,0,11.72,0,0,3.55,0,0,0.93,0,0,0,0
 72-82,0,0,0,0,0,0.96,0.51,0,0,1.54,0,0,0,1.18,0,0,0,0,8.21,0,0,2.16,27.94,0,1.05,0,0,5.35,0,0,3.61,0,0,0,4.1
 84-94,0,0,0,0,2.55,0,6.14,0,0.86,0,1.42,0,0,1.34,0,0,0,0,3.31,2.84,0,0,0.85,0,0,0,0,3.31,0,0,1.84,1.22,2.72,0,0
 96-106,0,0,0,0,0,0,4.49,1.34,0,0,0.83,0,0,10.85,0,0,2.07,0,11.86,2.08,0,3.02,2.09,0,0.57,0,0,5.85,0,0,0,0,0,4.43,0
108-118,0,0,0.71,0,0.95,0,0,0.99,0,0.92,0,0,0,4.45,0,0.43,0,0.58,10.82,2.42,0,1.28,17.47,0,1.83,0,0,10.5,0,0,0,0,0.93,0,1.86
120,0,0,0,0,10.24,0,0,0,0,0,8.08,0,7.84,7.47,0,0,0,0,0,1.31,0,0,9.72,0,0,0,0,7.71,0,0,0,0,0,0,0
