stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,27.2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,33.96,1.36,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,48.56,14.95,0,0,2.22,0
 48-58,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,1.17,0,2.81,0,0,0,53.58,0,1.08,0,0,0
 60-70,0,0,0,0,0.57,0,1.83,0,1.53,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,44.61,1.17,0,0,0,0
 72-82,0,0,0.68,0,5.48,10.12,1.55,0,9.14,0,2,0,0,0,0,0,6.14,0,0,2.56,0,4.87,0,36.19,4.08,0,0,0.96,0
 84-94,0,0,0,0,7.32,0,0.91,0,18.6,0,1.74,0.6,0,3.19,0,0,1.07,0,0,18.02,0,1.76,0,69,4.78,1.98,0.78,1.43,0
 96-106,0,0,0.95,1.9,27.73,1.39,1.78,6.82,49.89,0,1.53,0.84,0,0,5.82,0,8.1,0.69,0,36.08,0,3.4,0,98.85,2.27,3.16,0.83,2.84,2.56
108-118,0,0,0.94,0.44,26.34,0,4.38,2,82.15,0,0.44,1.76,0.67,0.6,3.01,0.94,5.86,0.43,0,8.6,0,1.65,2.43,90.17,3.72,0,4.91,0,0
120,3.48,0,0,0,25.58,0,0,0,82.96,0,2.56,2.19,0,4.79,38.17,0,0,0,1.56,31.56,0,1.06,0,109.74,5.07,0,0,0,0
