stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,4.38,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,1.86,0.68,0,0,0,0,0
 36-46,13.01,0,0,0,0,0,0,1,0,0.66,0,2.07,0,0,0,0,0.9,0
 48-58,0,0.45,0,0,0,0,4.36,0,0,0,0,6,0,0,0,4.36,0,0
 60-70,0,0,3.34,1.83,0,0,0,1.39,0,0,0,1.27,0.84,0,0,4.95,0,0
 72-82,0,0,6.79,0,0.61,0,1.68,2.83,0,1.07,0.88,3.14,0,0,0,18.53,0,0
 84-94,0,0,20.9,0,0.97,0,0,2.08,0.59,0,0,3.94,0,0,0,14.67,0,0
 96-106,0.65,0,14.91,0,2.29,0,0,1.7,0,0,0,6.55,0,0,0,37.34,0,3.24
108-118,0,0,10.2,0,0,0,1.09,0,0,8.22,0,2.89,0,1.16,0,17.36,0,0
120,0,0,14.79,2.55,9.92,0,1.06,2.13,0,0,0,0,0,0,0,12.06,0,0
