stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1560.61,27995.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309.08,0,0,0,0,0,0,0,0,0,0
  5-6,3526.42,47372.89,0,21.17,0,0,0,0,0,0,0,0,0,140.59,0,0,0,0,0,0,0,0,0,0,0,1514.63,94.57,0,0,368.93,0,1302.53,0,0,0,0,0,0,0,0,0,0
  7-9,580.49,1133.32,0,1212.86,0,12.95,0,2814.12,0,0,0,0,0,1226.05,0,0,0,0,0,0,0,0,0,0,0,28506.18,616.51,0,0,9472.27,0,62.01,128.17,0,0,0,0,0,0,0,0,0
 10-12,0,486.98,0,637.03,0,80.8,0,1364.34,0,0,0,0,0,160.34,0,0,0,0,0,0,0,0,0,0,0,12530.32,250.25,0,0,4435.3,0,26.08,23.75,25.52,588.41,0,32.21,10.53,0,0,0,0
 14-21,2.31,0,0,38.25,306.98,151.68,0,288.3,0,0,0,55.35,19.71,0.86,1.15,0.82,5.84,0,0,1.15,1.26,148.58,0,0,124.74,3389.12,40.39,6.15,34.83,102.29,0,26.29,0.9,283.35,9.44,2.09,186,768.38,0,0,8.4,0
 24-34,0,0,0,4.72,66.26,49.86,0,597.46,0,0,2.12,41.2,0,0,3.72,4.15,4.13,5.49,2.38,7.53,2.19,266.49,0,1.81,81.83,3135.7,2.37,7.91,19.1,0,0,23.9,0,0,0.76,0,12.37,487.24,0,0,43.29,2.99
 36-46,0,0,0,1.46,22.74,15.21,0,779.67,0,1.24,2.62,35.67,0,0,0,0.56,1.79,0,0,1.94,1.49,144.85,0,2.56,25.42,1480.62,12.09,3.57,2.66,0,0,16.98,0,0,0,0,0,229.34,0,0,16.39,1
 48-58,0,0,0,0,25.04,2.8,0,804.76,0,0,2.65,76.94,4.91,0,0,3.93,7.35,1.78,3.13,3.9,0,177.9,0,20.24,31.17,763,1.95,6.55,6.57,0,0.47,10.92,0,0,0,0,0,106.09,0,0,16.83,0
 60-70,0,0,0,0,24.81,6.57,0,393.93,0,3.65,1.37,61.62,6.32,0,0,15.22,2.84,0,0,5.88,0,86.37,0,11.63,7.17,416.4,0.65,2.81,3.21,0,0.71,5.46,0,0,0,0,0,20.37,0,1.77,5.37,3.58
 72-82,0,0,1.65,0,7.73,1.97,1.76,153.99,0,0.68,4.14,56.38,5.1,0,8.66,2.03,0,0,0,2.79,0,63.22,0,3.46,20.18,198.47,1.43,0.95,1.57,0,3.86,2.57,0,0,0,3.45,0,10.13,0,1.03,23.39,0
 84-94,0.62,0,0,0,10.91,11.02,0,134.53,0,0,4.6,27.28,2.81,0,0,6.74,3.11,0,1.62,0,0.73,85.25,0,6.9,13.73,142.66,1.11,4.17,0.78,0,0,4.41,0,0,0.56,0,0,3.98,0,0,12.39,0
 96-106,0,0,0,0,6.22,15.25,0,70.99,0,0,2,23.21,2.41,0,1.59,7.95,3.18,1.81,1.53,0,0,29.15,0,1.34,5.45,117.06,0,0,4.74,0,0,1.08,0,0,0,0,0,5.66,0,1.87,3.84,4.61
108-118,0,0,0,0,10.01,13.97,0,79.3,1.26,0.42,3.57,28.84,2.88,0,1.04,3.64,2.7,0.86,0,2.72,0,43.63,1.27,0.69,9.55,150.28,0,0.47,0,0,0,1.26,0,0,0,0,0,0,1.63,0,7.41,2.17
120,0,0,0,0,24.92,24.48,0,117.06,0,0,4.91,90.52,6.92,0,0,8.21,0,16.34,5.98,1.05,0,29.2,0,0,18.46,148.66,0,15.89,2.49,0,0,0,0,0,0,0,0,0,0,0,14.03,0
