stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.54,2.4,0,0,0,0,0,0,0.9,945.51,0,0,0,0
 24-34,0,0,0,0,4.91,0,0,0,2.06,0,0,0,0,0,0,0,4.05,0,4.36,325.6,1.64,0,3.82,4.48,1.59,0,0,0.68,2609.26,0,0,0,0
 36-46,0,12.58,0,0,17.76,2.44,0,0,16.08,0,0,0,0,0,5.06,0,8.27,0,3.28,382.78,1.22,0,0,0.73,0,0,1.03,0,3162.08,0,0,0,0
 48-58,0,10.47,0,0,88.91,0,0,0,70.94,0,5.07,0,0,1.18,0,0,6.68,0,0.63,452.47,0,0,0,0,0,0,0,0,3090.29,0,1.09,0,1.9
 60-70,0,8.08,0,0,659.46,0,1.05,0,43.18,0,0,0,0,0.84,1.32,0,16.34,0,0,564.92,0,0,0,2.18,0,0,0,0,3125.53,0,0,0,0
 72-82,2.69,0.76,0,1.16,1947.38,0,0,0,72.77,0,0,0,0,0,0,0,11.94,0,0,741.17,0,0,0,3.81,0,0,0,0,2087.34,0,4.42,4.01,0
 84-94,0,5.9,4.23,0,1399.68,0,2.55,0.87,58.43,0,0.62,0,2.67,0,0,0,16.84,4.3,6.4,475.6,0,3.8,0,0,0,0,0,0,1400.52,0.84,0.61,4.66,0
 96-106,0,15.89,0,3.15,2088.07,0,0,0,58.62,0,0,0,25.1,0,3.08,3.42,13.72,0,0,531.49,0,1.3,0,8.68,0,0,0,0,776.16,0,0,0,0
108-118,0,6.2,0,0,1849.62,0,0,0.61,81.53,1.29,0,0.86,0,0,0,0,10.32,0,0,567.55,0,1.86,0,0.45,0,1.68,0,0,787.26,0,6.99,0,0
120,0,21.4,0,1.8,1124.13,0,3.08,12.74,25.93,0,0,0,0,1.12,5,0,32.08,0,0,526.25,0,0,0,6.37,0,0,0,0,924.08,0,0,0,0
