stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,4.09,0,0,0,0,0,0
 10-12,0,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,1.19,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.9,0,0,0.58,0,0,0,0.93,0,1.18,0,0,1.11,0,0,0,0,0,0,0,0
 48-58,0,0,0.45,0,1.53,0,0,8.16,0,0,0,0,0,2.21,0,0,6.59,0,0,0,0,0,0,6.34,0
 60-70,0,0,0,0,1.63,0,0,31.41,0,0,0,4.89,0,4.75,0,0,6.05,0,0,0,0,0,0,0,0
 72-82,24.44,0,3.58,1.07,19.36,0,0.92,181.81,0.78,0,0,5.61,0,13.34,0,0.73,41.42,0,0,0,18.01,0,0,0,10.68
 84-94,12.24,0,0,0.93,13.29,0,1.76,233.74,0,0,1.61,1.64,0,19.59,2.99,0,26.91,0,0,1.81,12.9,2.28,0,0,0
 96-106,18.69,0,8.71,3.82,23.61,0,2.01,216.63,0,0.9,0,8.85,0,40.9,0,0,45.29,0,0,5.46,124.1,0,0,2.77,0.8
108-118,4.91,0,2.17,3.44,72.31,0,4.46,178.64,1.76,0,0,2.92,2.99,38.81,0,0,28.99,0.47,0,2.07,230.97,0,0.54,2.73,0
120,22.7,0,2.99,1.64,45.07,2.51,0,111.06,2.59,0,0,26.89,0,31.87,0,2.09,16.19,0,0,0,164.37,19.92,0,0,0
