stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm
  3-4,119.35,344.82,0,0,0,0,0,0,0,0,0,0,26.55,0
  5-6,241.17,649.56,0,0,0,0,16.22,0,0,86.89,19.31,19.11,45.36,0
  7-9,46.06,0,27.94,0,0,0,4.2,0,0,37.46,31.83,110.7,0,0
 10-12,0,0,23.33,0,0,0,0,0,0,40.22,4.81,23.32,0,0
 14-21,0,0,0,0,3.57,0,0,0.81,1.03,0,0.84,0,0,2.86
 36-46,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0
 60-70,0,0,0,0,0,0.87,0,0,0,0.93,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
120,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0
