stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0
 24-34,0,0.61,1.21,0,0,0,0,0,0,0.72,0,0.6,14.74,0.84,0,0,1.75,0,0
 36-46,0,0.84,4.76,0,0,0,0,0,0,2.16,1.42,0,16.04,0.57,0.72,0,0,2.05,0
 48-58,0,0,4.29,0,0,0,0,0.55,0,1.53,0,2.24,11.84,0,0.49,0,0,6.29,0
 60-70,0,0,3.9,0.59,5.22,0,0,0,0,3.21,1.82,0,10.44,0,0,0,0,2.14,0
 72-82,0,0,0,0,0,0,0,0,0,6.9,0,1.06,8.35,0,0,0,0,0,0
 84-94,0,0.94,0,0,0,0,1.3,0,0,2.45,0,0,1.9,0,2.48,0,0,0,0
 96-106,0,0,0,0,0,1.04,0,0,5.55,3.37,0,0,2.28,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.73,0.91,0,8.76,0,0,0,0,0,1.61
120,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
