stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,147.85,2892.97,0,0,0,0,0,0,0,0,0,0,0,0,0,46.45,0,0,0
  5-6,93.9,1493.92,10.68,0,0,0,0,0,16.53,0,0,0,70.48,0,18.72,36.99,0,0,0
  7-9,0,6.62,0,0,11.35,0,0,0,12.5,0,0,0,94.94,13.23,24.23,0,13.37,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,6.03,0,0
 14-21,0,0,0,0,0,0,0,1.08,0,0,0,0,1.95,0,0,0,1.99,0.85,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.94,0.62,0,0,0,0,0,0.66
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.8,7.27,0,0,0,0,0,0
 48-58,0,0,0,0,3.67,0,0,0,0,0,0,0.71,2.87,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.89,4.95,0,0,0,0,0,0
 72-82,0,0,0,0,6.38,0.51,0,0,0,2.57,0,1.68,15.98,0,0,0,0,0,0
 84-94,0,0,0,2.13,2.7,0,0,0,0,0,0,3.67,5.39,0,0,0,0,0,0
 96-106,0,0,0,2.06,8.1,0,1.66,0,0,0,0,1.2,7.95,0,0,0,0,0,0
108-118,0,0,0,1.05,0.63,0.52,0,0,0,0,0,3.38,23.16,0,0,0,0,0,0
120,0,0,0,0,0,1.28,0,0,0,0,1.84,0,13.16,0,0,0,0,0,0
