stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,41.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,0.9,1.72,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,11.23,2.04,0,0,0,0.97,0,111.73,1.34,8.43,0,0,0,0,0
 24-34,0,2.51,0,2.72,0,3.65,0,0,0,0,0,0,0.62,0,0,0,3.11,0,2.08,45.27,0,0,0,0,3.68,0,275.92,0.7,8.52,0,0,2.54,0,2.07
 36-46,0,0,0,0.6,0,10.17,21.22,0,0,4.35,0,0,0,0,0,0,1.5,0,2.56,91.14,4.59,2.69,0,0,0.56,0,582.9,0,15.54,0,0,0,0,0.57
 48-58,0,0,0,0,0,10.99,20.02,1.13,0,4.2,0,0,0,7.28,0.49,0,1.21,0,10.9,62.9,0,0,2.19,0,0,2.86,204.29,0,16.4,0,0,3.65,0,0
 60-70,0,0,0,4.01,0,34.46,42.76,0,1.98,1.34,0,0,0,0,0,0,4.62,0,0.57,56.85,0,0,0,0.81,1.68,0,99.59,0,23.79,0,0,8.17,0,0
 72-82,0,0,0,4.66,0,41.53,37.67,0,1,2.1,0,0,0,0,0,0,11.03,0,0.49,60.19,0,0,0.79,0,1.91,0,10.49,0,5.09,0,0,0,1.07,0
 84-94,0,0,0,1.33,0,35.97,77.61,0.9,0.62,0,0,1.83,0,0.66,0.78,0,1.78,0,3.82,38.28,0,0.7,0,0,10.41,0,14.74,0,3.28,0,1.13,0,1.97,8.23
 96-106,0,1.41,0,3.87,0,29.02,266.88,0.58,0,14.29,0,1.47,0,0,0,1.14,8.5,0,21.7,41.65,0.59,0,0,10.66,5.06,0,21.19,0,5.21,0.81,0,1.99,0,10.64
108-118,0,0,0,2.78,0,20.97,257.66,0,0,2.43,1.44,0.46,0,0,0,1.92,9.89,1.4,31.43,45.69,0,0.46,0,0,2.03,0,13.04,0,0,0,0,0,2.72,0
120,0,0,0,0,0,8.64,312.83,0,0,7.56,0,0,0,0,0,0,3.55,0,17.94,125.29,0,0,0,0,1.35,0,10.46,0,0,0,0,0,7.37,0
