stage,eye,iridophores,mesenchyme,neural,spinal_cord
 48-58,0,0,0,2.03,0
 60-70,0,0,0,1.96,1.11
 72-82,0.68,0,1.91,5.56,0.74
 84-94,0,0,0,8.88,0
 96-106,0,0,0,4.38,0
108-118,0,0.78,0,0,0
120,12.5,0,0,0,0
