stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,3.05,70.05,27.77,21.23,0,0,0,12.96,0.98,0,0,11.7,0,0,3.2,0,27.72,1.09,0,24.25,387.88,14,0,5.59,9.01,4.35,0,62.52,5.45,9.46,57.8,206.94,0,0,4.77,0
 24-34,0.76,10.28,1.35,64.93,0,0.63,0,18.48,0,0,0,1.54,0,0.63,1.88,0,35.35,0,0,15.71,648.8,0.64,2.08,12.66,0,21.58,0,0,0,0,5.17,145.91,0,0,4.95,1.65
 36-46,0,3.14,0,137.34,0,0,0,22.83,0.95,1.7,0,0,0,0,5.06,0,28.02,0,0,5.96,313.82,0.56,0,4.16,0,8.96,0.81,0,0,0,0,118.42,0,0,2,0
 48-58,0,8.56,0,164.41,0,0,0.76,18.45,0,0,0.47,0.4,0,0,0,0,41.01,0,0.86,4.09,237.62,0.52,1.85,3.17,0,5.39,0,0,0.57,0,0,50.56,0,0,2.66,0
 60-70,0,2.21,0,181.01,0,1.18,1.69,24.2,0,0,0,0,0,0.79,0,9.3,35.18,0,0,4.34,101.8,0,0,1.67,0,1.51,0,0,0,0,0,11.15,3.21,0,1.73,0
 72-82,0,0,0,46.83,0,0,0,14.54,0.76,0,0,0,0,1.43,0,0,33.41,0,0,5.59,66.48,0,0.67,0.51,0,5.39,0,0,0,0,0,13.88,0,0.51,1.3,0
 84-94,0,1.07,0,56.25,0,0.66,1.31,3.09,0,0,0,0,0.6,10.04,0,0,32.01,0,0,5.52,51.33,0,0,2.94,0,6.89,0,0,0,0,0,0,0,0,0.67,0
 96-106,0,4.53,0,32.53,0,0,5.63,9.09,0.93,0,0.74,0,0,0,0,0,18.11,2.26,0,6.86,35.54,0,0,3.85,0,7.62,0,0,0,0.84,0,4.92,0,0.77,1.75,0.63
108-118,0,8.7,0,52.14,0.42,0,0,27.33,0,0,0,0,0,0.75,0,0,19.96,0,4.41,4.93,54.09,0,0,4.09,0,11.02,0,0,0,0.47,0,1.03,0,0,0,0
120,0,10.04,0,51.31,0,0,0,11.7,0,0,0,0,0,2.87,0,0,48.93,0,18.47,6.97,41.9,0,1.45,0,0,8.96,0,0,0,0,0,0,0,0,0,0
