stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,27.31,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,51.62,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.49,0,0,0
 10-12,0,0,0,0,0,0,0,3.25,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,3.1,0,0,1.01,0
 24-34,0,0,0,0.69,0.94,0,0,2.41,0,0,0.84,0
 36-46,0,0,0,0,0,2.44,0,0,0,0,0,0
 48-58,0,0,0,0,0.58,0,0.95,0,0,1,0,0
 60-70,0,0,0,0,0,0.62,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.33,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.85,0,0,0,3.7
 96-106,0,0,0,0,0,1.46,0,0.8,0,0,0,0
108-118,0,0,0,0,0,0.52,0,0,0,0,0,0
120,0,0,0,0,0,1.16,4.72,0,0,0,0,0
