stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,mesenchyme,neural,paraxial_mesoderm,spinal_cord,taste,vasculature
 10-12,6.23,0,0,0,0,0,0,0,10.9,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.22,0,0
 24-34,0,0.94,0,0,0,0,0.78,2.97,0,1.86,0,0
 36-46,0,0,0,0,0,0,0,1.14,0,0,0,0
 48-58,0,0,0,0,0,0,0.45,10.55,0,0,0,0
 60-70,0,0,0,3.08,0,1.97,0,12.66,0,0,0,0
 72-82,0,0,0,1.74,0,0,0,11.78,0,0.85,0,0
 84-94,0,0,7.96,2.83,0,0,0,17.61,0,0,0.89,1.81
 96-106,0,0,0,3.53,0,0,0,16.83,0,0,0,0
108-118,0,0,0,0,0,1.21,0.69,15.27,0,0,0,0
120,0,0,0,13.8,5.49,0,0,38.41,0,0,0,0
