stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.92,0,0,0,0,0.82,0,0,0,0,0,0,0,0,12.97,0,0,0,0,0,2.12,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.52,112.13,0,0,1.73,0,0,0,0,0,0,1.42,0,3.11,0,0,1.62,49.27,1.44,2.56,0,0,0,0,0,0,3.53,0,0,0.64,0,0
 36-46,0,0,0,0,0,5.73,656.48,0,0,3.38,0,0.63,0.64,0.62,0,0,0,0,7.78,0,0,9.44,62.55,0,1.48,0,0,13.2,0,0.82,2.8,11.63,0,0,0,0,0
 48-58,0,0,1.53,3.53,0,107.29,1560.55,0.39,6.82,31.48,0.46,0,0,0,0,0,0,0,37.37,1.75,1.23,43.45,340.25,5.32,0.38,0,0,6.5,0,0,8.7,71.24,0,0,1.93,0,23.56
 60-70,0,1.1,10.59,1.55,0,168.71,1260.48,3.97,14.03,19.56,0,0,2.67,0,0,1.43,0,7.55,45.39,1.46,20.46,47.07,380,2.09,0,0,0,26.15,0,0,22.04,59.48,0,2.41,0,0,5.86
 72-82,0,0,25.42,20.88,0,205.45,992.67,8.01,9.22,38.1,0,1.86,9.43,0.66,9.92,9.29,13.74,0,92.93,0.56,14.85,86.82,403.61,0.56,14.1,2.76,0.72,29.58,0,0.9,14.37,39.82,1.21,5.95,11.24,3.56,31.22
 84-94,0,0,39.25,53.6,0,293.6,1687.04,12.71,3.74,37.38,7.63,1.56,10.3,1.81,1.35,1.97,6.33,4.77,135.76,7.25,4.85,67.65,426.25,2.09,0.9,1.81,0,70.86,0,3.46,17.14,34.3,0,6.45,12.26,4.28,27.05
 96-106,0,3.53,49.86,197.34,2.47,686.72,6864.6,28.83,15.92,196.54,22.57,11.3,25.08,8.5,10.2,10.19,71.53,0,345.16,11.41,26.43,124.8,1064.86,6.62,10.81,18.08,4.85,177.01,6.78,1,118.2,75.34,14.18,11,46.57,4.99,65.58
108-118,0,1.92,73.42,87.01,12.61,816.81,5014.08,13.57,18.37,114.44,13.16,5.08,8.59,5.79,20.88,3.11,26.91,5.2,302.65,8.93,8.42,218.9,1034.25,0.45,11.49,10.18,8.31,119.5,0,0.43,87.28,43.87,8.48,11.89,35.55,8.71,31.64
120,0,0,31.98,61.85,1.03,293.68,2990.31,6.43,9.34,91.27,0,0,47.03,6.06,18.28,0,28.74,10.94,200.89,1.1,12.5,119.67,609.6,1.62,13.79,1.16,7.89,58.83,0,2.46,21.22,2.54,0,5.7,9.77,0,42.11
