stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.43,116.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.36,129.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.39,31.8,4.88,0,0,36.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.48,0,0,0,76.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,24.53,0,12.25,23.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.48,52.26,0,0,314.01,0,0,7.75,0,0,32.75,0,0,0,0,0,0
 14-21,0,0,0.89,29.23,8.62,7.13,0,0,0,8.21,0.92,1.3,0,4.09,0,0,0,60.13,0,0,50.75,250.56,13.82,1.19,3.78,0.92,0,2.63,47.49,0,90.7,164.29,106.47,0,0,0,0,0
 24-34,0,0,0,21.26,2.25,41.06,2.38,6.63,1.57,24.43,0,0.94,0,2.87,1.06,1.44,0,179.16,5.11,0.81,83.3,809.73,0.59,1.72,11.55,0,0,3.47,0,0.85,3.39,23.44,227.65,0,0,7.23,0,0
 36-46,0,0,0,6.6,0,28,3.31,1.43,10.37,86.64,0,0.75,0,0,0.75,0,0,232.89,4.14,1.54,65.48,912.51,1.35,2.59,7.66,0,0,4.68,0,0,3.8,1.34,315.86,0,0,0,0,0
 48-58,0,0,0,4.07,1.14,42.69,6.72,1.45,7.75,153.19,0.38,1.32,2.24,0,0.44,0,0.91,426.16,2.88,25.71,64.65,490.11,1.45,0.57,6.76,0,1.46,3.53,0,0,0,0,186.89,0,1.12,0.48,1.4,8.8
 60-70,0,0,0,6.15,0,46.09,20.33,5.8,4.87,188.7,0,0.9,0,3.46,0,0,0,493.9,1.92,32.53,44.14,247.71,0,0,2.9,0,1.92,13.11,0,1.88,0,0,65.09,1.23,5.79,3.6,29.04,0
 72-82,0,0,0,4.48,12.06,54.65,26.93,0,10.63,107.09,0,0.53,0,1.25,0,0,3.9,522.79,4.29,48.58,45.9,153.02,0,0,6.35,0,8.12,1.5,0,0,0,0,23.6,0,34.85,1.4,70.23,0
 84-94,0,0,0,10.13,0.55,50.75,16.2,0,5.63,82.17,0.81,0,0,1.89,0,0,0,347.32,3.64,77.65,35.47,141.09,0,0,8.24,0,0.77,6.59,0,0,0,0,17.48,0,19.94,10.25,116.16,4.94
 96-106,0,0,0,2.49,9.73,66.69,17.99,0,8.77,89.49,1.43,0,0,0,0,0,0,276.21,4.12,43.38,19.24,102.71,0,0,4.62,0,12.65,12.49,0,2.75,0,0,4.59,0,9.46,0,97.8,0
108-118,0,0,0,16.33,3.72,55.66,13.46,0,7.79,77.15,1.23,0,0,0.42,2.24,0,1.34,295.17,0.88,22.42,26.17,56.57,0,0.8,0,0,20.9,6.46,0,0,0,0,0.45,0.44,2.81,2,61.59,0
120,0,0,0,5.22,0,90.94,32.16,0,0,114.13,0,0,0,2.5,0,0,0,204.41,0,24.89,3.79,54.82,0,0,7.37,0,2.76,1.23,0,0,0,0,1.75,0,7.04,24.55,56.39,0
