stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,194.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.67,119.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.04,0,0,0,0,3.24,0,0,0,0,0,0,97.41,0,0,0,16.81,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.14,4.14,0,0,4.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.56,0,0,0,0,1.01,0,0,0,0,0,0,1.06,1,29.5,0,1.51,1.27,1.39,0,5.71,3.14,0,5.44,15.34,0,0
 24-34,0,0,0,0,0.62,0,1.99,0,0,1.34,0,0,0,0,0,0,4.02,2.06,70.69,0,0,0.68,0,0,0,0,0.6,0,17.12,0,0.75
 36-46,0,0,0,0,0,0,18.28,0,0,3.39,0,0,0,0,0,0,1.17,0.69,83.85,0,0.99,2.64,0,0,0,0,0,0,11.33,0,0.81
 48-58,0,0,0,0,5.04,0,20.47,0,0,5.09,0,0,0,0,0.69,1.28,8.47,3.05,18.67,0,0.78,0,0,4.08,0,0,0,0,6.32,0,0.9
 60-70,0,0,0,0,6.15,0,19.09,0,0,2.44,0.75,0,0,0,0,0,19.06,2.18,35.53,0,0,0,0,0,0,1.12,0,0,1.39,0,0
 72-82,0,0,0,0.56,0.71,0,16.26,3.46,0.51,0,0,0,0,0,0,0,5.86,4.58,8.51,0,3.64,1.35,0,0,0,1.87,0,0,4.04,0,0
 84-94,0,0,0.66,0,0,6.73,12.86,0,0,3.27,0,0,0.65,0,0,0,8.64,0.96,11.46,0,0,0,0,0.74,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0.83,0,6.94,0,0,0.68,0,0,0,0,0.9,0,1.25,1.35,0.79,0,0,0,0,1.23,0,0,0,0,0,0,0
108-118,0,0,0,0,1.22,0,5.59,1.28,0,1.3,0.43,0,0,0,0.53,0,10.35,0,22.82,1.26,0,0.43,0,0,0,0,0,0,0,0,0
120,0,0,0,0,2.31,0,0,0,0,13.51,1.02,0,3.09,1.59,0,0,5.55,3.12,25.59,0,0,1.5,0,0,0,0,0,0,0,0,0
