stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.62,7.33,0,0,0,53,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,0,165.14,0,0,41.86,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.27,4.28,0,0,0,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.35,0,0,81.9,0,0,14.56,0,30.04,0,0,0,0,0,0,0
 14-21,0,0,1.3,5.8,9.82,0,4.04,0,0,0,4.85,0,0,1.8,0,0,0,0,0,0,7.68,0,0,9.02,114.16,1.86,0.84,1.12,0,2.22,0,6.39,0,0.87,13.12,37.55,0,8.29,0,0
 24-34,0,0,0,1.33,3.97,0,22.06,0,1.86,0,1.25,0,0,15.64,0,0,0,0,0,0,24.77,0,0,0.95,268.8,3.02,0,0,0.99,0,0,0,0,1.16,2.57,55.15,0,145.86,0,0
 36-46,0,0,0,3.78,4.5,0,26.52,0,0,0,10.29,0,0,3.87,0,0,0,0,6.8,0,36.3,0,2.52,4.93,118.68,20.43,0.96,0,0,0,0,0,0,0,0,31.56,0,152.82,0,0
 48-58,0,0,0,0,0,0,20.42,0,0,1.34,14.07,0,0,11.6,0,0,0,0,0,2.15,41.58,0,0,6.87,53.1,8.17,0,0,0,0,0,0,0,0,0,28.39,0.64,164.44,0,0
 60-70,0,0,0,0,5,0,6.59,0,0,1.65,11,0,0,14.82,0,0,0,0,0,0,60.94,0,1.41,19.64,35.64,3.78,0,0,0,0,0,0,0,0,0,14.38,0,137.14,0,0
 72-82,0,0,0,1.24,0,0,6.39,0,0,0,10.74,1.68,0,19.6,0,0.51,0.72,0,0,1.69,83.06,0,0,4.25,42.02,0.53,0,0,0,0,0,0,0,0,0,3.91,0.56,366.12,3.84,1.68
 84-94,0,0,0,6.34,0.93,0,4.77,2.14,0,0,13.39,0,0,8.06,0,2.59,0.55,0.73,0,0.98,43.28,0,3.35,0,18.59,0,0,0,0,0,0,0,0,0,0,0,0,303.49,0,1.57
 96-106,0,0,0,0.98,12.11,0,24.88,0,0,0,12.36,1.31,0,20.91,0.58,0,0,0,0,0.75,54.89,1.42,0,0.72,28.33,1.21,0,0,0,0,0,0,0,0,0,6.08,5.07,329.79,1.49,0
108-118,0.56,0,0,1.71,0,0.5,7.17,0,0,0,18.16,2.14,0,17.39,0,2.66,0.42,0,0.6,1.68,79.85,0,0,2.26,25.82,2.08,0,0,9.02,0,0,0,0,0,0,0,3.8,250.94,1.69,0
120,0,0,0,3.1,0,0,8.71,0,0,1.66,69.01,0,0,15.3,0,0,8.39,0,0,9.31,100.11,5.12,2.76,4.62,29.87,29.74,0,0,0,0,0,0,0,0,0,0,0,395.4,0,0
