stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,89.9,1748.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.77,0,0,0,0,0,0,0,0,0,0
  5-6,170.51,2389.21,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,83.34,16.8,0,0,16.19,0,38.06,0,0,0,0,0,0,0,0,0,0
  7-9,60.36,146.75,0,78.28,0,0,0,297.51,0,0,0,0,0,94.47,0,0,0,0,0,0,0,0,0,0,0,2567.54,91.52,0,0,659.25,0,3.37,21.2,0,0,0,0,0,0,0,0,0
 10-12,0,89.18,0,80.36,0,0,0,177.95,0,0,0,0,0,52.52,0,0,0,0,0,0,0,0,0,0,0,1576.85,56.23,0,0,679.28,0,4.05,0,9.21,120.65,0,3.11,3.28,0,0,0,0
 14-21,0,0,0,2.84,19.12,11.15,0,21.02,0,0,0,2.31,0,0,0,0,0.89,0,0,0,0,6.09,0,0,11.03,235.7,27.27,0,0.98,3.91,0,7.03,0.9,52.13,1.06,0,47.33,43.33,0,0,0,0
 24-34,0,0,0.84,1.35,2.12,0.67,0,29.7,0,0,0,3.26,0,0,0,0,0,0,0,0,2.19,23.4,0,0.69,7,179.62,12.19,2.33,0.74,0,0,10.83,0,0,0,0,5.82,30.51,0,1.35,0,0.78
 36-46,0,0,0,0,0,0,0,34.59,0,0.56,0,4.42,0,0,0.63,0,0,0,0,0,0,13.4,0,0,7.39,147.57,1.69,0,1.21,0,0,18.36,0,0,0.63,0,0.56,31.82,0,10.98,0,1.87
 48-58,0,0,0,0,6.61,0,0,34.75,0.95,0.79,0.45,11.94,0,0,0,0.71,0.37,3.16,0,0.39,0,15.49,0.7,1.76,12.34,156.64,0,1.87,0,0,0,4.38,0,0,1.57,0,0,32.56,0,1.43,0,0
 60-70,0,0,0,0,7.8,0,0,46.64,0.65,0,1.72,8.39,0,0,0.78,0,1.02,0,1,0,0,19.97,0.62,1.72,0.86,146.51,0,0,0,0,0,9.03,0,0,0,0,0,27.74,0,3.18,0,0
 72-82,0,0,0,0,2.14,10.17,0,40.64,0.55,0,2.62,11.21,0,0,0,0.49,0,0,3.15,0,0,22.87,0,0.57,4.27,143.05,0,5.48,0.54,0,0,1.02,0,0,0,0,0,3.67,2.33,3.12,1.8,0
 84-94,0,0,0,0,5.75,11,0,35.19,0,1.76,0,7.3,0.97,0,0,1.81,0,1,0,4.45,0,20.8,0,5.78,1.79,87.8,0,0,1.75,0,0,21.04,0,0,0.8,0.94,0,3.17,0.71,6.37,0,0
 96-106,0,0,1.19,0,7.58,5.6,0.71,13.71,0.95,0,0,8.83,0.61,0,0,1.42,0,0.89,0,0,0,24.02,0.67,1.32,1.73,48.45,0,1.84,0,0,0,22.6,0,0,0,0,0,3.67,0,1.19,0,0.6
108-118,0,0,0,0.74,9.41,3.09,6.48,32.65,0,6.18,5.2,22.02,3.91,0,0,1.09,0.46,1.25,0.89,0,0,25.24,0,3.81,8.9,80.47,0,2,0,0,1.53,20.8,0,0,0.43,1.3,0,0,0.69,13.38,0,0
120,0,0,0,0,16.64,2.85,1.14,9.76,1.43,4.34,0,7.57,0,0,0,12.31,0,0,1.74,0,0,28.52,0,0,4.93,135.05,0,0,4.64,0,0,14.68,0,0,0,0,0,1.74,9.46,0,0,0
