stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.98,206.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0
  5-6,18.24,77.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.21,0,0,0,6.21,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,54.14,3.71,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.14,4.23,0,0,27.75,0,0,0,11.73,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,1.23,10.92,1.83,0,3.07,0,0,0,1.25,1.66,0,0,0,0,0,0,0,0,3.12,0,0,0.96,27.83,0,0,1.09,0.87,0,12.03,10.5,0.84,0,12.37,22.97,0,0,0,0,3.62
 24-34,0,0,0,0.59,9.42,0.78,0,12.07,0,0.82,0,2.93,0,0,3.09,0.69,3.28,0,2.08,0,0,12.34,0,0,8.04,168.38,2.29,2.39,0.74,0,0,26.43,0,0.85,0,2.58,31.82,0,0,5.99,0,1
 36-46,0,0,0,0,15.66,0,0,17.08,0,1.53,0,4.95,0,0,2.23,13.33,0,0,0,0,0,24.76,0,0,6.24,152.59,5.6,2.13,0.66,0,0,32.57,0,0.63,0,0,29.9,0,0,0.92,0,3.02
 48-58,0,0,0,0,5.87,0,0,40.75,0.38,3.78,0,10.88,0,0.93,0,0,0.41,0,0,0,0,15.78,0,4.15,0.5,162.11,0.88,4.28,1.7,0,0,22.11,0,1.07,1.57,0,42.7,0,0,3.96,0,1.98
 60-70,0,0,0,0,7.6,0.57,0,139.68,0,5.57,3.97,20.67,2.41,2.38,0.78,9.84,0.59,0,0,0,0,37.84,0.73,1.82,6.19,192.79,14.35,6.27,7.28,0,0.63,48.14,0,0.68,0,0,30.89,0.81,0,2.18,0,0
 72-82,0,0,1.47,0,12.49,35.38,0,185.53,0,0,1.09,36.94,1.23,0,0.7,2.18,3.53,0,3.73,0,0,55.69,8.31,1.84,3.25,289.2,1.23,9.82,2.35,0,0,19.75,0,0,0,0,27.61,0.87,3.25,8.03,1.94,0
 84-94,0,0,0,0,7.27,5.92,0,116.59,0,2.82,0.77,13.23,3.7,0,0,3.15,4.43,0.65,0.78,0,0.68,55.18,1.79,0,12.01,192.45,4.35,1.79,1.3,0,0.77,69.67,0,2.46,0,0,21.08,0.56,2.81,12.67,1.38,0
 96-106,0,0,1.23,0,17.94,40.72,1.05,92.13,2.48,3.1,1.14,52.47,4.64,0,0,5.75,3.76,0.89,2.98,0.93,0,45.37,7,5.37,1.69,186.44,4.39,4.9,7.21,0,1.32,67.5,0,0.69,0.85,0,17.45,3.71,4.1,10.77,1.08,7.08
108-118,0,0,0.8,0,14.69,20.4,4.06,158.58,2.49,3.46,4.43,35.82,9.92,0,4.76,8.47,7.74,7.09,5.31,0,0.76,82.17,19.85,2.48,6.61,253.98,5.57,5.29,9.3,0,2.36,54.51,0,1.21,0.87,0,14.3,3.17,1.16,11.9,0,1.52
120,0,0,0,0,49.49,17.21,0,86.34,0,6.85,3.3,75.91,9.54,0,4.47,17.7,11.12,4.72,1.77,3.16,0,95.41,12.35,0,19.08,416.47,12.52,19.9,26.4,0,0,91.01,0,0,0,0,29.52,1.53,6.76,6.85,0,0
