stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,xanthophores
  3-4,854.73,23258.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.9,0,0,0,0,0,0,0,0
  5-6,979.72,64052.15,0,117.58,0,0,0,0,0,0,0,0,55.46,0,0,0,0,0,0,0,3835.62,0,0,1194.14,439.03,0,0,0,0,0,0,0,0
  7-9,11.02,1014.29,0,2719.39,0,0,64.32,0,0,0,0,0,49.11,0,0,0,0,0,0,0,26507.3,108.95,0,32697.04,58.36,49.56,0,65.42,0,0,0,0,0
 10-12,0,196.21,0,1264.66,0,0,16.91,0,0,0,0,0,19.06,0,0,0,0,0,0,0,3938.11,15.88,0,9437.17,0,16.86,0,425.94,0,0,0,0,0
 14-21,0,0,0,0,58.1,4.07,0,0,18.9,0,1.12,4.7,0,0,2.5,0,0,0,22.79,3.18,55.45,33.55,2.45,1099.81,0,0,302.44,0,0,141.58,287.4,0,0
 24-34,0,0,0,0,6,2.8,6.18,0,34.14,77.22,3.18,1.69,0,0,0.64,0,0,0,3.91,12.83,25.75,56.03,0,0,0,0,0,0.92,3.36,236.73,201.85,0,0
 36-46,0,0,0,0,0,0,1.14,0,2.33,46.65,0.93,0,0,1.03,0,0,0,0,0,21.01,10.08,0,0,0,0,0,0,0,12.89,0,117.01,0,0
 48-58,0,0,0,0,0,0,0.38,0,2.5,83.31,0.49,0,0,0,0,0,0,0,13.8,9.32,23.36,0,0,0,0,0,0,0,5.39,0,73.24,0,0
 60-70,0,0,0,0,0,0,1.73,0.58,3.04,35.51,1.77,3.66,0,0,0,0,0,0,14.09,2.04,5.18,0,0,0,0,0,0,0,3.27,0,36.45,0,0
 72-82,0,0,0,0,0,0,2.88,2.9,0,44.75,6.54,6.06,0,0.59,0,0,0,0,1.86,9.28,3.48,0,0,0,0.59,0,0,0,0.64,0,75.96,0,0
 84-94,0,0,0,0,0,0,1.99,0,0,25.74,4.67,25.42,0,0,9.05,3.14,1.49,0,12.64,0,11.02,0,0,0,1.45,0,0,0,0,0,124.19,0,0
 96-106,0,0,0,0,0,0,0.67,0,0,37.75,4.85,25.61,0,0,1.99,0,0,0.86,2.78,0.76,4.7,0,0,0,0.8,0,0,0,0,0,58.64,0,0
108-118,0,0,0.92,0,0,0,0.91,0.56,0,31.79,1.01,47.03,0,0,4.75,0,0,0,11.74,6.83,6.5,0,0,0,0,0,0,0,1.66,0,47.4,0,0
120,0,0,0,0,0,0,6.14,0,0,37.18,2.21,22.85,0,0,0,0,3.74,0,10.34,4.32,0,0,0,0,0,0,0,0,0,0,45.29,3.81,8.31
