stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,758.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,461.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,9.28,0,26.35,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.55,24.29,0,41.28,0,0,0,126.18,0,0,0,0,0,78.05,0,0,0,0,0,0,0,0,0,0,642.66,30.94,0,0,258.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,58.91,0,20.79,0,4.44,0,114.8,0,0,0,0,0,29.62,0,0,0,0,0,0,0,0,0,0,746.08,27.85,0,0,287.89,0,0,5.33,0,10.81,0,7.48,3.28,0,0,0,0,0
 14-21,0,0,0,1.9,36.55,9.49,0,8.06,0,0,0,3.58,0,8.01,0,0,0,0,0,0,0,8.4,0,10.91,334.27,8.55,0,5.81,2.74,0,0,1.8,44.75,0,4.86,31.14,96.16,0,0,0.82,0,0
 24-34,0,0,0,0,6.4,1.97,0,49,0,0,0,11.95,0,0,0.98,0.61,0.66,0,1.6,0.81,0.83,25.13,0,14.93,661.59,0.6,7.09,0,0,0,7.51,0,0,0,0,8.55,169.19,0,0,4.99,0,1.49
 36-46,0,0,0,0,5.5,0,0,141.24,0,0,0,28.18,0,0,1.45,0,0,0,0.85,0,8.78,36.2,0.56,12.33,808.83,0,4.73,2.25,0,0,6.05,0,0,0,0,0,173.92,0,0,9.64,0,1.73
 48-58,0,0,0,0,1.73,0,0,345.8,0.44,1.69,4.11,37.75,0.56,0,1.57,1.16,0.58,1.44,1.27,0,0,49.62,2.7,5.79,805.42,0,1.32,1.14,0,0,4.09,0,0,0,0,0,152.11,0,0,2.31,0,2.39
 60-70,0,0,0.82,0,6.47,0,0,544.87,0,0.63,0,52.12,0.75,0,0,0,0,0,6.22,0,0,34.42,2.41,6.43,809.91,0,2.87,1.65,0,0,9.49,0,0,3.39,0,0,62.67,0,2.57,7.93,0,0
 72-82,0,0,0,0,6.05,0,0,429.84,1.33,0,4.45,45.67,1.98,0,3.06,0.49,0.55,0,0,0.96,0,56.01,2.82,8.8,482.21,0,5.15,5.19,0,1.78,7.21,0,0,0,0,0,33.73,1.67,1.87,14.1,0,11.21
 84-94,0,0,6.24,0,6.4,0,0,294.13,0,2.25,3.78,28.39,1.04,0,0,6.83,0,0,1.51,0,0,39.06,4.16,5,412.72,0.86,7.57,4.72,0,0.57,22.14,0,0,2.39,0,0,43.59,1.03,6.5,7.8,0,2.42
 96-106,0,0,0,0,10.54,0,0,270.62,0,0,0,28.22,0.78,0,0,3.7,1.31,3.73,0.62,0,0.68,25.68,0.92,5.8,385.11,0,0.9,8.15,0,0,14.53,0,0,0,0,0,10.99,7.44,0,12.65,7.86,0
108-118,0,0,0.85,0,9.14,0,0.66,198.72,2.21,0.99,1.38,36.95,4.3,0,0.58,0.53,1.67,5.08,1.63,5.39,0,35.52,3.48,1.82,375.4,0.45,2.97,0.6,0,4.77,3.16,0,0,0.84,0,0,9.18,0.83,0,8.51,0,1.35
120,0,0,0,0,32.56,0,0,114.53,0,3.55,0,46.41,0,0,0,0,0,0,4.94,18.25,0,13.12,11.61,4.12,495.88,0,1.15,0,0,0,7.45,0,0,0,0,0,24.02,0,0,9.86,0,0
