stage,axial,epidermis,eye,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord
  5-6,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.69,0,0,0,22.99,0,0
 14-21,0,0,0,0,4.51,0,0,0,0,1.65,16.66,0.95,0,0,2.75,0,40.34
 24-34,0,0,0,0,3.24,0,0,0,0,0.8,0,0,10.99,2.26,0,2.12,24.85
 36-46,0,0,0.58,2.07,0,0,0,1.49,0,0.88,7.68,0,3.08,0,0,14.84,14.52
 48-58,0,0,6.14,0,0,0,0,5.19,0.6,0,1.51,0,4.8,4.53,0,1.52,6.47
 60-70,0,0,2.84,0,5.89,0,0,3.6,0,2.07,0,0,2.62,0,0,9.83,2.99
 72-82,0,0,0,0,4.1,0,0.56,5.23,0,0,0,0,5.94,2.87,0,0,9.02
 84-94,0,0,0.57,0,1.72,0,0,0,0,0,0,0,2.57,4.59,0,0,10.46
 96-106,0,0,0,0,3.53,0.89,0,3.54,0,0,6.88,0,15.65,5.88,0,0.6,0
108-118,0,0,0,0,1.7,4.72,0.42,14.02,0,0,3.08,0,2.23,7.52,0,0,0.52
120,0,1.08,0,0,6.64,0,1.77,0,0,0,9.67,0,12.26,19.04,0,0,1.34
