stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,22.29,1285.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.73,0,0,0,0,0,0,0
  5-6,57.25,612.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,25.39,0,8.51,0,0,0,0,0,0,0
  7-9,0,7.75,0,0,0,0,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.78,7.9,0,0,18.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.12,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.66,0,0,0,36.04,0,0,0,24.8,0,0,0,0,0
 14-21,0,0,0,2.91,14.68,3.93,10.79,0,0,5.46,4.23,0,0,3.36,0,0,0,0,12.48,0,0,3.08,160.27,12.81,0.83,1.24,4.39,0,0,32.96,1.93,15.67,39.49,0,0,0
 24-34,0,0,0,0,1.06,1.22,16.75,0,0,3.4,0,0,0,0,0,0,0,0,13.73,0,0,4.76,210.32,0,0.83,1.03,0,0,1.79,0,0,1.38,44.79,0,1.63,0
 36-46,0,0,0,0,0,0,37.81,0,0,10.41,0,0,0,0,0,0,0,0,5.16,0,1.13,0,112.98,0,0,3.34,0,0,0,0,0,0,30.92,0,0.66,0
 48-58,0,0,0,0,3.71,0,50.36,0,0,14.91,0.38,0,0,0,2.03,0,1.88,0,23.81,0,0,3.48,110.07,0,1.66,0.78,0,0.47,0,0,0,0,30.95,0,0.5,0
 60-70,0,0,0,0,0,0,48.43,0,1.68,13.62,0,0,0,0,4.76,0,0,0,9.28,0,1.69,2.03,49.94,0,0,0,0,0,0.86,0,0,0,3.89,1.29,0.72,0
 72-82,0,0,0,0,2.35,0,31.84,0,0,10.74,1.92,0.51,0.67,0,0,0,0,0,15.06,0,0.85,2.81,54.99,0.56,0.55,3.71,0,0,0,0,0,0,3.89,0.83,0.51,0
 84-94,0,0,0,0,1.4,0,19.98,0,0,2.7,0,0,0.64,0,0,0,0,3.35,7.4,0.76,0,3.61,14.44,0,0,0,0,0,0,0,0,0,0,0,3.17,0
 96-106,0,0,0.89,0,3.33,0,23.33,0,0,10.44,1.36,0.99,1.27,0,0,6.09,0,0,15.8,1.95,2.52,0,9.88,0,1.94,0,0,0,0,0,0,0,0,0,5.71,1.89
108-118,0,0,0,0,2.49,0,7.06,0,0,10.39,0,0,0,0,0,0,0,0,11,0,0,1.76,38.3,0,0,0,0,0,0,0,0,0,0.45,0,3.29,0
120,0,0,0,0,14.99,0,6.36,1.62,0,5.54,0,0,1.06,0,0,0,0,0,18.34,0,0,2.41,34.17,0,0,0,0,0,0,0,0,0,0,0,7.24,0
