stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,0,4.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0.7,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0.66,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,120.86,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,4.33,1.02,0,0,0,0,0
 48-58,0,0,0,13.88,0,0,1175.69,0,0,0.83,0.42,0.46,0,0,0,3.8,0,1.48,0,0,0,3.65,12.34,0,0,0,0,0,0.46,0,1.73,0,0,0,0,0
 60-70,2.52,0,0,0,0,0,9518.35,2.02,0,6.58,5.59,0.63,0,4.49,0,9.62,0,0,17.49,0,1.28,1.83,58.11,0,1.1,0,0,1.96,1.69,0,8.48,0,0,0,0,2.89
 72-82,0,0,0.95,23.65,3.98,0,12967.56,1.86,2.88,0.77,23.21,0,0,0,1.34,3.21,3.8,0.96,54.46,0.61,0.55,4.52,220.56,0.72,2.15,8.56,0,18.13,0,0,34.78,0,0.81,18.56,3.88,5.96
 84-94,0,0,0,44.45,7.52,0.92,14689.54,4.16,9.46,5.46,32.25,3.93,2.4,3.02,0.56,1.5,2.31,0,59.3,3.24,0.74,1.58,155.03,3.74,0,0.94,0,7.25,3.42,0,6.52,2.36,2.13,0.78,3.65,1.16
 96-106,0,0,0.95,52.19,51.91,1,14839.79,28,2.49,2.48,24.33,0.95,0.61,8.67,0.56,4.64,0.58,1.57,70.76,0,0,19.35,308.44,1.22,14.62,4.47,0,25.63,2.02,2.09,12.15,6.17,0,23.48,3.03,5.93
108-118,9.99,0,0,14.18,9.07,0.56,12354.01,7.59,3.75,1.46,31.5,2.61,1.56,1.2,4.96,0.84,0,2.31,82.76,0,1.29,17.71,320.01,0.41,1.58,3.5,0,16.23,3.85,0,18.85,1.02,1.53,10.17,3.86,1.93
120,0,0,0,17.01,22.12,0,12379.6,12.27,1.78,0,37.12,0,0,2.69,1.48,0,0,0,43.78,0,0,23.38,303.54,1.25,0,0,0,23.41,5.79,0,12.17,3.15,0,1.72,0,0
