stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vasculature
 14-21,0.82,0,0,0,0,0,0,0,4.2,0,1.11,0.83,2.35,0,2.36,0,4.28,0
 24-34,0,0,0,0,0,0.69,0,0,0,0,0,3.97,0,0,0,0.61,0,0
 36-46,0,1.73,0,1.21,0,0,0,0,1.81,0,0,5.26,0,0,4.12,0,0.67,0
 48-58,0,0.76,0.63,0.78,0,0,0,0.37,0,0,0,3.27,0,0,0,0,0.83,0
 60-70,0,1.68,3.95,0,0,0,0,0,0,0,0.67,8.6,0,0,0,0,0,2.3
 72-82,0,3.4,0,0,0.64,0,0,0,2.36,0.79,0,0.61,0,0,0,0,0,0
 84-94,0.62,1.64,1.39,0,0,0,0,0,2.93,0,0,2.88,0,0,0,0,0,0
 96-106,1.81,0,3.21,0,0,0,1.25,0,1.21,0,0.69,10.21,0,0,3.73,0,0,0
108-118,5.12,0,22.43,0,0,0,0,0,4.39,0,0,7.25,0,0.87,0.45,0,0,0
120,3.37,12.85,19.34,0,0,0,0,0,8.39,0,0,0,0,0,12.51,0,1.64,0
