stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.56,334.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.13,491.29,0,10.71,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,23.7,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,7.29,0,12.29,0,0,0,38.54,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,345.39,3.62,0,0,139.34,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,23.84,0,5.97,0,0,0,32.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.25,20.92,0,0,97.6,0,0,10.75,0,0,0,0,5.88,0,0,0,0
 14-21,0,0,0,3.38,12.9,3.35,0,5.7,0,0,0,0,0,1.04,1.3,0,0,0,0,0,0,6.35,0,0,4.84,77.12,1.08,1.94,0.84,2.87,0,0,0,12.46,0,4.24,8.45,35.22,0,0,0,0
 24-34,0,0,0,0.73,0.62,3.24,0,11.4,0,0,0.61,0.64,0,0,0,0,0,0,0.96,0,1.4,7.55,0,0,11.56,175.9,0.97,1.45,2.09,0,0,3.49,0,0,0,0,0.67,31.15,0,5.32,0,0
 36-46,0,0,0,0,3.68,0,0,17.8,0,0,0,5.66,0,0,0.89,0,0,0,0,0,0,19.76,0,0,5.55,203.34,1,1.91,2.42,0,0,10.12,0,0,0,0,0,29.36,0,0.93,0,0
 48-58,0,0,0,0,3.04,0,0,51.41,0,0,0.44,11.99,0,0.57,0,0,0,0,0.45,0,0,28.98,0,0,2.52,160.1,0,2.6,0.48,0,0,9.23,0,0,0,0,0,41.12,0,1.27,0,0
 60-70,0,0,0,0,6.53,0,0,97.2,0,0,0,11.56,0,0,0,0,0,0,0,0,0,30.08,1.02,1.53,0.63,214.69,0,0.6,0.64,0,0,1.7,0,0,1.87,0,0,25.83,0,0,0,0.96
 72-82,0,0,0,0,2.18,2.18,0,82.02,0.92,0,1.18,15.23,0,0,0,0,0,0,1.06,0,0,54.36,0,0,8.39,138.22,0,0,4.31,0,0,6.81,0,0,0,0,0,19.9,0,1.37,0,6.66
 84-94,0,0,0.66,0,4.7,0,0,34.54,0,1.25,0.87,31.92,4.73,0,2.41,0.67,0,0,0,0.6,1.19,40.27,6.36,0.63,0.6,87.92,0,3.11,0,0,0,9.09,0,0,0,0,0,1.85,0,1.35,3.16,1.67
 96-106,0,0,0,0,5.04,0,0,32,0,0,1.52,8.55,0.67,0,0,0.58,0,0,1.58,0,0,39.17,0,0,8.89,84.38,0,1.02,5.87,0,1.47,2.63,0,0,0.84,0,0,0.78,1.51,0.69,0,3.45
108-118,0,0,0,0,4.32,0.93,0,34.16,0,0,1.53,11.83,5.48,0,0,0,0.5,0.85,2.84,0.56,0,43.42,0,0,2.15,106.47,0,2,0,0,0,5.4,0,0,0,0.46,0,0.58,1.86,1.84,1.63,2.88
120,0,0,0,0,4.91,6.26,1.14,7.17,0,0,0,16.26,1.41,0,0,0,0,0,0,0,0,28.69,0,0,7.87,133.5,0,11.19,6.14,0,0,4.27,0,0,0,0,0,0,0,0,1.05,0
