stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,7.23,262.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.53,0,0,0,0,0,0,0,0
  7-9,5.15,35.96,0,10.74,0,32.01,0,0,0,0,9.33,0,0,0,0,0,0,0,0,130.39,3.96,0,0,36.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,25.26,0,0,0,0,9.52,0,0,0,0,0,0,0,0,130.44,5.18,0,0,63.68,0,7.35,0,8.87,3.11,0,0,0,0,0
 14-21,0,0,0,0,10.74,2.99,0,0,1.99,1.2,2.24,0,0,0,0,0,0,0,5.95,49.2,0,0,1.09,0,0,0,8,0,7.38,27.54,0,0,0,0
 24-34,0,0,0,0,0,6.92,0,0,0,0,0,0,0.68,0,0,7.39,6.69,0,2.74,80.95,0,0,0.96,0,0,0,0,0,0.68,27.89,0,0,2.67,0
 36-46,0,0,0,0,0,0.88,0,1.44,0,0,0,0,0,0,0,5.3,0,0,1.4,35.69,0,1.22,0,0,0.77,0,0,0,0,4.64,0,0,0,0
 48-58,0,0,0,0,0,14.09,0,0.59,7.81,0,0,0,0,0,0.48,15.34,0,0,2.86,70.05,0,0.59,0,0,0,0,0,0,0,11.36,0,0,0.4,1.83
 60-70,0,0,0,0,0,12.84,0,0.92,4.53,0,0,0,0,0,0,5.46,0,0,0.9,66.61,0,0,0,0,0,0,0,0,0,13.74,2.06,0,0,0
 72-82,0,0,0,0,0,15.23,0,0,6.37,0,0,0,0,0,0,9.68,0,1.98,0.8,43.85,0,0,0,0,0,0,0,0,0,6.25,11.3,0,1.24,0
 84-94,0,0,0,0,2.54,22.51,0,0,5.88,0,0,0,0,1.61,4.86,7.62,0,0,1.22,13.53,0,2.5,0,0,0,0,0,0,0,0,63.39,0,0,0
 96-106,0,0,1.05,0,2.62,12.56,0,1.14,7.48,1.87,0,2.1,0,0,0,5.22,0,0,0,19.88,0,0,0.66,0,0,0.78,0,0,0,1.9,198.37,0.96,1.03,0
108-118,0,0,0,0,15.62,10,1.29,0,5.35,0,0,4.16,0,0,0,10.51,3.75,0,0,21.78,0,1.44,0,0,0,2.25,0,0.54,0,0.78,210.2,0,0,0
120,0,0,0,0,0,19.41,0,0,0,0,0,0,0,0,0,0,0,2.13,1.36,13.25,0,0,0,0,0,0,0,0,0,8.38,137.01,2.93,0,0
